team,distance,rank,winRate
NC,8116.0,4,0.56
OB,8288.1,2,0.596
KT,6848.7,10,0.347
LG,8010.7,6,0.489
WO,7065.5,7,0.486
HT,8770.7,1,0.608
LT,9468.5,3,0.563
SS,7848.9,9,0.396
SK,7410.4,5,0.524
HH,7057.8,8,0.43
NC,8556.2,10,0.406
OB,7675.9,2,0.646
KT,7265.6,9,0.418
LG,6085.4,8,0.476
WO,6549.7,4,0.521
HT,9254.7,5,0.486
LT,8211.4,7,0.479
SS,8254.2,6,0.486
SK,7499.2,1,0.545
HH,7266.8,3,0.535
NC,8208.4,5,0.514
OB,6561.2,1,0.615
KT,7106.5,6,0.5
LG,7542.1,4,0.552
WO,6838.4,2,0.601
HT,8254.0,7,0.437
LT,7927.8,10,0.34
SS,7813.4,8,0.42
SK,7629.5,3,0.615
HH,7372.2,9,0.403
NC,7318.1,1,0.601
OB,7752.3,2,0.564
KT,7484.0,3,0.566
LG,7590.5,4,0.564
WO,5723.4,5,0.559
HT,8465.9,6,0.507
LT,7602.5,7,0.497
SS,7391.8,8,0.46
SK,7130.2,9,0.357
HH,6782.0,10,0.326
NC,8369.2,7,0.496
OB,7796.9,2,0.522
KT,7699.5,1,0.563
LG,7840.8,4,0.554
WO,7448.4,5,0.511
HT,8119.6,9,0.433
LT,7691.4,8,0.478
SS,7858.2,3,0.563
SK,8005.4,6,0.508
HH,6726.9,10,0.371
