year,date,경기,승패여부,거리
2017,04.04(화),NC0vs6한화,1,0.0
2017,04.07(금),한화2vs4KIA,0,0.0
2017,04.11(화),한화11vs8삼성,1,136.8
2017,04.14(금),SK6vs2한화,0,178.9
2017,04.21(금),한화7vs2KT,1,124.5
2017,04.25(화),한화2vs4롯데,0,115.4
2017,04.28(금),넥센13vs2한화,0,298.1
2017,05.02(화),한화6vs5SK,1,193.3
2017,05.05(금),KT1vs13한화,1,140.8
2017,05.12(금),한화5vs3LG,1,140.8
2017,05.16(화),한화1vs2넥센,0,136.8
2017,05.19(금),삼성6vs2한화,0,18.1
2017,05.26(금),한화3vs5NC,0,140.7
2017,05.30(화),두산2vs5한화,1,160.3
2017,06.06(화),한화vsKIA,-1,160.3
2017,06.09(금),삼성8vs5한화,0,136.8
2017,06.13(화),한화11vs8SK,1,136.8
2017,06.16(금),한화15vs14KT,1,140.8
2017,06.20(화),넥센5vs6한화,1,32.2
2017,06.23(금),한화3vs5삼성,0,115.4
2017,06.27(화),KT1vs4한화,1,124.5
2017,07.04(화),한화5vs7넥센,0,124.5
2017,07.07(금),한화vsLG,-1,140.7
2017,07.11(화),롯데5vs4한화,0,18.1
2017,07.21(금),한화6vs9두산,0,136.8
2017,07.25(화),한화vs롯데,-1,136.8
2017,07.28(금),LG3vs4한화,1,313.6
2017,08.01(화),한화6vs7NC,0,193.3
2017,08.04(금),KIA3vs7한화,1,160.3
2017,08.08(화),한화1vs8두산,0,160.3
2017,08.10(목),삼성vs한화,-1,136.8
2017,08.12(토),한화6vs1넥센,1,136.8
2017,08.15(화),SKvs한화,-1,140.7
2017,08.17(목),한화1vs3NC,0,140.7
2017,08.19(토),롯데0vs2한화,1,160.3
2017,08.22(화),한화3vs2KT,1,160.3
2017,08.24(목),KIAvs한화,-1,115.4
2017,08.26(토),한화1vs2SK,0,115.4
2017,08.29(화),LG4vs8한화,1,140.8
2017,09.02(토),한화0vs9롯데,0,140.8
2017,09.05(화),두산4vs6한화,1,193.3
2017,09.07(목),한화11vs2KIA,1,193.3
2017,09.09(토),NC3vs6한화,1,136.8
2017,09.12(화),한화6vs2삼성,1,136.8
2017,09.14(목),넥센2vs10한화,1,124.5
2017,09.16(토),한화3vs1LG,1,124.5
2017,09.22(금),롯데2vs0한화,0,136.8
2017,09.24(일),한화5vs0KIA,1,136.8
2017,09.26(화),한화8vs11롯데,0,136.8
2017,09.28(목),KIA7vs4한화,0,197.7
