,year,date,score,place
0,2017,04.01(토),한화6vs5두산,잠실
1,2017,04.04(화),두산2vs0KT,수원
2,2017,04.07(금),넥센7vs3두산,잠실
3,2017,04.14(금),두산10vs6NC,창원
4,2017,04.18(화),삼성3vs3두산,잠실
5,2017,04.21(금),두산4vs9SK,문학
6,2017,04.25(화),두산9vs13넥센,고척
7,2017,04.28(금),롯데0vs2두산,잠실
8,2017,05.02(화),두산5vs6삼성,대구
9,2017,05.05(금),LG3vs1두산,잠실
10,2017,05.12(금),두산vs롯데,사직
11,2017,05.16(화),NC2vs1두산,잠실
12,2017,05.19(금),두산7vs6KIA,광주
13,2017,05.23(화),두산vsLG,잠실
14,2017,05.30(화),두산2vs5한화,대전
15,2017,06.02(금),두산15vs4넥센,고척
16,2017,06.06(화),삼성12vs10두산,잠실
17,2017,06.09(금),두산4vs0롯데,사직
18,2017,06.13(화),LG4vs7두산,잠실
19,2017,06.20(화),두산vsKIA,광주
20,2017,06.23(금),롯데1vs9두산,잠실
21,2017,06.30(금),두산8vs13한화,대전
22,2017,07.04(화),KT1vs8두산,잠실
23,2017,07.07(금),두산6vs1NC,창원
24,2017,07.11(화),넥센5vs1두산,잠실
25,2017,07.18(화),두산6vs4SK,문학
26,2017,07.21(금),한화6vs9두산,잠실
27,2017,07.25(화),두산6vs5KT,수원
28,2017,07.28(금),KIA3vs3두산,잠실
29,2017,08.01(화),두산12vs5삼성,대구
30,2017,08.04(금),두산11vs4LG,잠실
31,2017,08.10(목),두산7vs4넥센,고척
32,2017,08.12(토),NC0vs3두산,잠실
33,2017,08.15(화),두산6vs8롯데,사직
34,2017,08.17(목),KIA1vs4두산,잠실
35,2017,08.19(토),두산10vs4KT,수원
36,2017,08.22(화),두산10vs6SK,문학
37,2017,08.24(목),넥센5vs6두산,잠실
38,2017,08.31(목),두산4vs9KIA,광주
39,2017,09.02(토),삼성3vs2두산,잠실
40,2017,09.05(화),두산4vs6한화,대전
41,2017,09.07(목),KT7vs3두산,잠실
42,2017,09.12(화),두산14vs13NC,창원
43,2017,09.14(목),SK8vs6두산,잠실
44,2017,09.16(토),두산9vs5삼성,대구
45,2017,09.19(화),두산8vs3롯데,사직
46,2017,09.20(수),두산3vs2NC,창원
47,2017,09.22(금),두산6vs0KIA,광주
48,2017,09.24(일),KT4vs6두산,잠실
49,2017,09.27(수),두산2vs3KT,수원
50,2017,09.29(금),두산5vs3LG,잠실
51,2017,10.01(일),두산6vs4한화,대전
52,2017,10.03(화),SK3vs2두산,잠실
