,year,date,score,place
0,2017,04.01(토),KIA9vs7삼성,대구
1,2017,04.04(화),삼성0vs11LG,잠실
2,2017,04.07(금),삼성2vs3KT,수원
3,2017,04.11(화),한화11vs8삼성,대구
4,2017,04.14(금),삼성6vs9롯데,사직
5,2017,04.18(화),삼성3vs3두산,잠실
6,2017,04.21(금),NC4vs4삼성,대구
7,2017,04.25(화),삼성3vs11KIA,광주
8,2017,04.28(금),SK7vs5삼성,대구
9,2017,05.05(금),삼성2vs7NC,창원
10,2017,05.09(화),LGvs삼성,대구
11,2017,05.16(화),삼성8vs2SK,문학
12,2017,05.19(금),삼성6vs2한화,대전
13,2017,05.23(화),KT12vs3삼성,대구
14,2017,05.26(금),삼성3vs18넥센,고척
15,2017,05.30(화),롯데1vs0삼성,대구
16,2017,06.06(화),삼성12vs10두산,잠실
17,2017,06.09(금),삼성8vs5한화,대전
18,2017,06.13(화),KT0vs4삼성,대구
19,2017,06.20(화),삼성3vs5LG,잠실
20,2017,06.23(금),한화3vs5삼성,대구
21,2017,06.27(화),삼성4vs11KIA,광주
22,2017,06.30(금),삼성5vs7SK,문학
23,2017,07.04(화),롯데2vs4삼성,대구
24,2017,07.11(화),삼성4vs2KT,수원
25,2017,07.18(화),삼성2vs5롯데,사직
26,2017,07.21(금),LG10vs4삼성,대구
27,2017,07.28(금),삼성9vs2넥센,고척
28,2017,08.01(화),두산12vs5삼성,대구
29,2017,08.04(금),삼성4vs3NC,창원
30,2017,08.08(화),LG10vs8삼성,대구
31,2017,08.10(목),삼성vs한화,대전
32,2017,08.12(토),롯데7vs13삼성,대구
33,2017,08.17(목),삼성6vs4KT,수원
34,2017,08.19(토),삼성4vs6LG,잠실
35,2017,08.22(화),삼성5vs11넥센,고척
36,2017,08.24(목),SK9vs7삼성,대구
37,2017,08.31(목),삼성4vs5SK,문학
38,2017,09.02(토),삼성3vs2두산,잠실
39,2017,09.05(화),NC3vs9삼성,대구
40,2017,09.07(목),삼성6vs5롯데,사직
41,2017,09.09(토),삼성5vs6KIA,광주
42,2017,09.12(화),한화6vs2삼성,대구
43,2017,09.14(목),삼성11vs11NC,창원
44,2017,09.16(토),두산9vs5삼성,대구
45,2017,09.23(토),삼성7vs8한화,대전
46,2017,09.27(수),NC11vs1삼성,대구
47,2017,09.30(토),삼성3vs4LG,잠실
48,2017,10.03(화),넥센9vs10삼성,대구
