,year,date,score,place
0,2018,04.06(금),한화vsKT,수원
1,2018,04.10(화),KIA3vs4한화,대전
2,2018,04.17(화),한화5vs2두산,잠실
3,2018,04.20(금),넥센6vs1한화,대전
4,2018,04.24(화),한화vsKIA,광주
5,2018,04.27(금),한화3vs5롯데,사직
6,2018,05.01(화),LG5vs6한화,대전
7,2018,05.04(금),한화9vs6삼성,대구
8,2018,05.08(화),한화10vs9넥센,고척
9,2018,05.11(금),NC4vs2한화,대전
10,2018,05.18(금),한화4vs3LG,잠실
11,2018,05.22(화),두산7vs8한화,대전
12,2018,05.25(금),한화1vs5SK,문학
13,2018,05.29(화),NC2vs7한화,대전
14,2018,06.01(금),한화13vs6롯데,사직
15,2018,06.05(화),한화3vs7LG,잠실
16,2018,06.08(금),SK5vs7한화,대전
17,2018,06.12(화),한화6vs2넥센,고척
18,2018,06.15(금),두산13vs4한화,대전
19,2018,06.22(금),한화5vs0NC,창원
20,2018,06.26(화),삼성13vs2한화,대전
21,2018,07.03(화),한화2vs9KIA,광주
22,2018,07.06(금),한화0vs6SK,문학
23,2018,07.10(화),넥센1vs4한화,대전
24,2018,07.17(화),한화8vs1KT,수원
25,2018,07.20(금),한화1vs0삼성,대구
26,2018,07.24(화),KIA0vs5한화,대전
27,2018,07.27(금),한화16vs7두산,잠실
28,2018,07.31(화),KT5vs4한화,대전
29,2018,08.07(화),한화4vs6두산,잠실
30,2018,08.09(목),넥센16vs5한화,대전
31,2018,08.14(화),한화4vs9롯데,사직
32,2018,08.16(목),한화2vs5삼성,대구
33,2018,09.04(화),롯데4vs6한화,대전
34,2018,09.06(목),한화9vs2KT,수원
35,2018,09.08(토),한화1vs5LG,잠실
36,2018,09.11(화),한화8vs7삼성,대구
37,2018,09.13(목),SK2vs1한화,대전
38,2018,09.18(화),한화3vs10NC,창원
39,2018,09.20(목),한화8vs2SK,문학
40,2018,09.22(토),KIA11vs5한화,대전
41,2018,09.29(토),한화3vs4KIA,광주
42,2018,10.03(수),롯데6vs7한화,대전
43,2018,10.06(토),한화5vs8롯데,사직
44,2018,10.09(화),한화10vs6KT,수원
45,2018,10.10(수),한화1vs6KIA,광주
46,2018,10.13(토),NC8vs10한화,대전
