,year,date,score,place
0,2018,04.03(화),KT7vs1넥센,고척
1,2018,04.06(금),한화vsKT,수원
2,2018,04.10(화),KT5vs4NC,창원
3,2018,04.13(금),KT1vs3LG,잠실
4,2018,04.17(화),SK9vs5KT,수원
5,2018,04.20(금),KT5vs4삼성,대구
6,2018,04.24(화),롯데14vs8KT,수원
7,2018,05.01(화),KT2vs4두산,잠실
8,2018,05.04(금),넥센11vs1KT,수원
9,2018,05.11(금),KT2vs6롯데,사직
10,2018,05.15(화),KT3vs0한화,대전
11,2018,05.18(금),NC6vs1KT,수원
12,2018,05.22(화),KT5vs8KIA,광주
13,2018,05.25(금),LG7vs13KT,수원
14,2018,05.29(화),KT14vs4삼성,대구
15,2018,06.01(금),KT1vs8SK,문학
16,2018,06.05(화),KIA11vs2KT,수원
17,2018,06.12(화),KT2vs3두산,잠실
18,2018,06.15(금),KT4vs5NC,창원
19,2018,06.19(화),롯데9vs7KT,수원
20,2018,06.26(화),KTvsLG,잠실
21,2018,06.29(금),NC3vs7KT,수원
22,2018,07.06(금),KT9vs11롯데,사직
23,2018,07.10(화),두산1vs9KT,수원
24,2018,07.20(금),KT4vs6KIA,광주
25,2018,07.24(화),KT9vs6넥센,고척
26,2018,07.27(금),LG7vs9KT,수원
27,2018,07.31(화),KT5vs4한화,대전
28,2018,08.04(토),넥센3vs1KT,수원
29,2018,08.07(화),KT12vs10NC,창원
30,2018,08.09(목),두산4vs2KT,수원
31,2018,08.11(토),KT3vs5한화,대전
32,2018,08.14(화),NC0vs10KT,수원
33,2018,09.08(토),KT12vs6넥센,고척
34,2018,09.11(화),KT3vs4SK,문학
35,2018,09.13(목),KT3vs10두산,잠실
36,2018,09.15(토),삼성7vs5KT,수원
37,2018,09.20(목),KT10vs11롯데,사직
38,2018,09.22(토),KT6vs1LG,잠실
39,2018,09.25(화),KIA9vs7KT,수원
40,2018,09.27(목),KT6vs7삼성,대구
41,2018,09.29(토),롯데8vs3KT,수원
42,2018,10.02(화),KT6vs10LG,잠실
43,2018,10.06(토),삼성1vs6KT,수원
44,2018,10.10(수),KT10vs1롯데,사직
45,2018,10.12(금),넥센10vs5KT,수원
46,2018,10.13(토),KT4vs3두산,잠실
