,year,date,score,place
0,2018,04.01(일),SK13vs1한화,대전
1,2018,04.03(화),KIA3vs13SK,문학
2,2018,04.10(화),SK4vs1LG,잠실
3,2018,04.13(금),NC2vs4SK,문학
4,2018,04.17(화),SK9vs5KT,수원
5,2018,04.20(금),SK5vs10롯데,사직
6,2018,04.24(화),두산10vs9SK,문학
7,2018,04.27(금),SK8vs3넥센,고척
8,2018,05.01(화),SK12vs3삼성,대구
9,2018,05.04(금),롯데4vs5SK,문학
10,2018,05.08(화),SK0vs9NC,창원
11,2018,05.11(금),LG14vs9SK,문학
12,2018,05.15(화),SK4vs6두산,잠실
13,2018,05.18(금),SK1vs5KIA,광주
14,2018,05.22(화),넥센10vs4SK,문학
15,2018,05.29(화),SKvs두산,잠실
16,2018,06.01(금),KT1vs8SK,문학
17,2018,06.08(금),SK5vs7한화,대전
18,2018,06.12(화),SK0vs4KIA,광주
19,2018,06.15(금),롯데14vs6SK,문학
20,2018,06.19(화),SK6vs6삼성,대구
21,2018,06.22(금),SK13vs9KT,수원
22,2018,06.26(화),KIAvsSK,문학
23,2018,07.03(화),SK9vs3넥센,고척
24,2018,07.06(금),한화0vs6SK,문학
25,2018,07.10(화),SK10vs3LG,잠실
26,2018,07.17(화),NC4vs10SK,문학
27,2018,07.20(금),SK6vs2롯데,사직
28,2018,07.24(화),두산1vs3SK,문학
29,2018,07.27(금),SK0vs1NC,창원
30,2018,07.31(화),넥센3vs1SK,문학
31,2018,08.04(토),SK9vs2LG,잠실
32,2018,08.07(화),삼성10vs8SK,문학
33,2018,08.09(목),SK3vs6NC,창원
34,2018,08.11(토),KIA18vs4SK,문학
35,2018,08.14(화),SK3vs6두산,잠실
36,2018,08.16(목),LG14vs3SK,문학
37,2018,09.06(목),SK0vs10롯데,사직
38,2018,09.08(토),두산3vs0SK,문학
39,2018,09.13(목),SK2vs1한화,대전
40,2018,09.15(토),SK2vs4KIA,광주
41,2018,09.18(화),SK5vs9KT,수원
42,2018,09.20(목),한화8vs2SK,문학
43,2018,09.22(토),SK2vs8넥센,고척
44,2018,09.25(화),LG7vs16SK,문학
45,2018,09.29(토),SK3vs9삼성,대구
46,2018,10.02(화),롯데8vs6SK,문학
47,2018,10.10(수),SK12vs5두산,잠실
48,2018,10.13(토),LG3vs2SK,문학
