,year,date,score,place
0,2017,04.01(토),한화6vs5두산,잠실
1,2017,04.04(화),NC0vs6한화,대전
2,2017,04.07(금),한화2vs4KIA,광주
3,2017,04.11(화),한화11vs8삼성,대구
4,2017,04.14(금),SK6vs2한화,대전
5,2017,04.21(금),한화7vs2KT,수원
6,2017,04.25(화),한화2vs4롯데,사직
7,2017,04.28(금),넥센13vs2한화,대전
8,2017,05.02(화),한화6vs5SK,문학
9,2017,05.05(금),KT1vs13한화,대전
10,2017,05.12(금),한화5vs3LG,잠실
11,2017,05.16(화),한화1vs2넥센,고척
12,2017,05.19(금),삼성6vs2한화,대전
13,2017,05.26(금),한화3vs5NC,창원
14,2017,05.30(화),두산2vs5한화,대전
15,2017,06.06(화),한화vsKIA,광주
16,2017,06.09(금),삼성8vs5한화,대전
17,2017,06.13(화),한화11vs8SK,문학
18,2017,06.16(금),한화15vs14KT,수원
19,2017,06.20(화),넥센5vs6한화,대전
20,2017,06.23(금),한화3vs5삼성,대구
21,2017,06.27(화),KT1vs4한화,대전
22,2017,07.04(화),한화5vs7넥센,고척
23,2017,07.07(금),한화vsLG,잠실
24,2017,07.11(화),롯데5vs4한화,대전
25,2017,07.21(금),한화6vs9두산,잠실
26,2017,07.25(화),한화vs롯데,사직
27,2017,07.28(금),LG3vs4한화,대전
28,2017,08.01(화),한화6vs7NC,창원
29,2017,08.04(금),KIA3vs7한화,대전
30,2017,08.08(화),한화1vs8두산,잠실
31,2017,08.10(목),삼성vs한화,대전
32,2017,08.12(토),한화6vs1넥센,고척
33,2017,08.15(화),SKvs한화,대전
34,2017,08.17(목),한화1vs3NC,창원
35,2017,08.19(토),롯데0vs2한화,대전
36,2017,08.22(화),한화3vs2KT,수원
37,2017,08.24(목),KIAvs한화,대전
38,2017,08.26(토),한화1vs2SK,문학
39,2017,08.29(화),LG4vs8한화,대전
40,2017,09.02(토),한화0vs9롯데,사직
41,2017,09.05(화),두산4vs6한화,대전
42,2017,09.07(목),한화11vs2KIA,광주
43,2017,09.09(토),NC3vs6한화,대전
44,2017,09.12(화),한화6vs2삼성,대구
45,2017,09.14(목),넥센2vs10한화,대전
46,2017,09.16(토),한화3vs1LG,잠실
47,2017,09.22(금),롯데2vs0한화,대전
48,2017,09.24(일),한화5vs0KIA,광주
49,2017,09.26(화),한화8vs11롯데,사직
50,2017,09.28(목),KIA7vs4한화,대전
51,2018,04.06(금),한화vsKT,수원
52,2018,04.10(화),KIA3vs4한화,대전
53,2018,04.17(화),한화5vs2두산,잠실
54,2018,04.20(금),넥센6vs1한화,대전
55,2018,04.24(화),한화vsKIA,광주
56,2018,04.27(금),한화3vs5롯데,사직
57,2018,05.01(화),LG5vs6한화,대전
58,2018,05.04(금),한화9vs6삼성,대구
59,2018,05.08(화),한화10vs9넥센,고척
60,2018,05.11(금),NC4vs2한화,대전
61,2018,05.18(금),한화4vs3LG,잠실
62,2018,05.22(화),두산7vs8한화,대전
63,2018,05.25(금),한화1vs5SK,문학
64,2018,05.29(화),NC2vs7한화,대전
65,2018,06.01(금),한화13vs6롯데,사직
66,2018,06.05(화),한화3vs7LG,잠실
67,2018,06.08(금),SK5vs7한화,대전
68,2018,06.12(화),한화6vs2넥센,고척
69,2018,06.15(금),두산13vs4한화,대전
70,2018,06.22(금),한화5vs0NC,창원
71,2018,06.26(화),삼성13vs2한화,대전
72,2018,07.03(화),한화2vs9KIA,광주
73,2018,07.06(금),한화0vs6SK,문학
74,2018,07.10(화),넥센1vs4한화,대전
75,2018,07.17(화),한화8vs1KT,수원
76,2018,07.20(금),한화1vs0삼성,대구
77,2018,07.24(화),KIA0vs5한화,대전
78,2018,07.27(금),한화16vs7두산,잠실
79,2018,07.31(화),KT5vs4한화,대전
80,2018,08.07(화),한화4vs6두산,잠실
81,2018,08.09(목),넥센16vs5한화,대전
82,2018,08.14(화),한화4vs9롯데,사직
83,2018,08.16(목),한화2vs5삼성,대구
84,2018,09.04(화),롯데4vs6한화,대전
85,2018,09.06(목),한화9vs2KT,수원
86,2018,09.08(토),한화1vs5LG,잠실
87,2018,09.11(화),한화8vs7삼성,대구
88,2018,09.13(목),SK2vs1한화,대전
89,2018,09.18(화),한화3vs10NC,창원
90,2018,09.20(목),한화8vs2SK,문학
91,2018,09.22(토),KIA11vs5한화,대전
92,2018,09.29(토),한화3vs4KIA,광주
93,2018,10.03(수),롯데6vs7한화,대전
94,2018,10.06(토),한화5vs8롯데,사직
95,2018,10.09(화),한화10vs6KT,수원
96,2018,10.10(수),한화1vs6KIA,광주
97,2018,10.13(토),NC8vs10한화,대전
