,year,date,score,place
0,2019,04.02(화),키움8vs6NC,창원
1,2019,04.05(금),키움4vs6KIA,광주
2,2019,04.09(화),KT3vs7키움,고척
3,2019,04.16(화),키움4vs0삼성,대구
4,2019,04.19(금),키움13vs3LG,잠실
5,2019,04.23(화),두산9vs3키움,고척
6,2019,04.30(화),키움15vs5SK,문학
7,2019,05.03(금),삼성3vs8키움,고척
8,2019,05.10(금),키움6vs7KT,수원
9,2019,05.14(화),키움3vs7한화,대전
10,2019,05.17(금),롯데0vs7키움,고척
11,2019,05.24(금),키움10vs5삼성,대구
12,2019,05.28(화),LG0vs5키움,고척
13,2019,05.31(금),키움2vs3KIA,광주
14,2019,06.04(화),SK2vs1키움,고척
15,2019,06.07(금),키움1vs7두산,잠실
16,2019,06.11(화),키움9vs8NC,창원
17,2019,06.14(금),한화7vs8키움,고척
18,2019,06.21(금),키움7vs4롯데,사직
19,2019,06.25(화),KIA3vs7키움,고척
20,2019,06.28(금),키움6vs5한화,대전
21,2019,07.02(화),두산3vs6키움,고척
22,2019,07.09(화),키움12vs3KT,수원
23,2019,07.12(금),키움6vs2SK,문학
24,2019,07.16(화),삼성0vs6키움,고척
25,2019,07.30(화),키움4vs2LG,잠실
26,2019,08.03(토),KT7vs1키움,고척
27,2019,08.06(화),키움vs롯데,사직
28,2019,08.08(목),SK6vs1키움,고척
29,2019,08.13(화),키움7vs8LG,잠실
30,2019,08.15(목),NC3vs4키움,고척
31,2019,08.20(화),키움0vs6KT,수원
32,2019,08.22(목),KIA5vs5키움,고척
33,2019,08.24(토),키움1vs2삼성,대구
34,2019,08.27(화),키움15vs0한화,대전
35,2019,08.29(목),롯데0vs4키움,고척
36,2019,08.31(토),키움9vs3NC,창원
37,2019,09.03(화),키움5vs2두산,잠실
38,2019,09.05(목),삼성4vs0키움,고척
39,2019,09.07(토),키움7vs3KIA,광주
40,2019,09.10(화),키움vsSK,문학
41,2019,09.12(목),LG2vs3키움,고척
42,2019,09.14(토),키움2vs3KT,수원
43,2019,09.16(월),키움6vs3두산,잠실
44,2019,09.17(화),키움0vs1한화,대전
45,2019,09.20(금),키움5vs1SK,문학
46,2019,09.24(화),키움0vs5KIA,광주
47,2019,09.27(금),키움vs롯데,사직
