,year,date,score,place
0,2020,05.05(화),롯데7vs2KT,수원
1,2020,05.08(금),SK8vs9롯데,사직
2,2020,05.15(금),롯데1vs2한화,대전
3,2020,05.19(화),롯데2vs9KIA,광주
4,2020,05.22(금),키움7vs9롯데,사직
5,2020,05.29(금),롯데2vs4두산,잠실
6,2020,06.02(화),롯데2vs7KIA,광주
7,2020,06.05(금),KT4vs6롯데,사직
8,2020,06.12(금),롯데2vs3LG,잠실
9,2020,06.16(화),롯데7vs5키움,고척
10,2020,06.19(금),롯데8vs9KT,수원
11,2020,06.23(화),KIA3vs4롯데,사직
12,2020,06.30(화),롯데10vs8NC,창원
13,2020,07.03(금),SK7vs4롯데,사직
14,2020,07.07(화),롯데6vs7한화,대전
15,2020,07.10(금),두산10vs5롯데,사직
16,2020,07.17(금),롯데10vs15삼성,대구
17,2020,07.21(화),롯데7vs8SK,문학
18,2020,07.24(금),롯데4vs2키움,고척
19,2020,07.28(화),NC9vs11롯데,사직
20,2020,08.04(화),롯데8vs0SK,문학
21,2020,08.07(금),롯데8vs4두산,잠실
22,2020,08.11(화),NCvs롯데,사직
23,2020,08.20(목),롯데6vs5두산,잠실
24,2020,08.22(토),롯데5vs3삼성,대구
25,2020,08.25(화),SK10vs8롯데,사직
26,2020,09.01(화),롯데2vs11KT,수원
27,2020,09.03(목),KIA4vs3롯데,사직
28,2020,09.08(화),롯데2vs14NC,창원
29,2020,09.10(목),삼성8vs13롯데,사직
30,2020,09.12(토),롯데1vs2SK,문학
31,2020,09.15(화),롯데8vs5키움,고척
32,2020,09.17(목),롯데1vs9LG,잠실
33,2020,09.19(토),NC1vs5롯데,사직
34,2020,09.24(목),롯데4vs7한화,대전
35,2020,09.26(토),롯데16vs3KIA,광주
36,2020,09.29(화),롯데8vs5LG,잠실
37,2020,10.02(금),한화1vs4롯데,사직
38,2020,10.09(금),롯데3vs7삼성,대구
39,2020,10.13(화),LG2vs17롯데,사직
40,2020,10.16(금),롯데5vs6NC,창원
41,2020,10.20(화),두산6vs1롯데,사직
42,2020,10.21(수),롯데3vs11SK,문학
43,2020,10.24(토),롯데1vs2두산,잠실
44,2020,10.25(일),롯데5vs10KT,수원
45,2020,10.27(화),SK0vs1롯데,사직
