,year,date,score,place
0,2021,04.03(토),KIAvs두산,잠실
1,2021,04.06(화),KIA5vs4키움,고척
2,2021,04.09(금),NC10vs6KIA,광주
3,2021,04.16(금),KIA11vs6SSG,문학
4,2021,04.20(화),KIA6vs3LG,잠실
5,2021,04.23(금),삼성1vs4KIA,광주
6,2021,04.30(금),KIA3vs15KT,수원
7,2021,05.04(화),KIAvs롯데,사직
8,2021,05.07(금),두산vsKIA,광주
9,2021,05.14(금),KIA2vs5NC,창원
10,2021,05.18(화),SSG7vs5KIA,광주
11,2021,05.21(금),KIA3vs5삼성,대구
12,2021,05.25(화),키움vsKIA,광주
13,2021,06.01(화),KIA1vs9한화,대전
14,2021,06.04(금),LG3vs4KIA,광주
15,2021,06.08(화),KIA0vs7삼성,대구
16,2021,06.11(금),KIAvs롯데,사직
17,2021,06.15(화),SSGvsKIA,광주
18,2021,06.18(금),KIA0vs5LG,잠실
19,2021,06.22(화),KIA3vs6KT,수원
20,2021,06.25(금),KIA5vs14키움,고척
21,2021,06.29(화),NC7vs3KIA,광주
22,2021,07.06(화),KIAvs한화,대전
23,2021,07.09(금),KT4vs10KIA,광주
24,2021,07.16(금),KIAvsNC,창원
25,2021,08.10(화),한화1vs4KIA,광주
26,2021,08.13(금),KIA8vs1SSG,문학
27,2021,08.17(화),KIAvs두산,잠실
28,2021,08.20(금),키움2vs3KIA,광주
29,2021,08.28(토),KIA4vs12SSG,문학
30,2021,08.31(화),KIAvs두산,잠실
31,2021,09.02(목),삼성5vs1KIA,광주
32,2021,09.04(토),KIA2vs6한화,대전
33,2021,09.07(화),KIAvsKT,수원
34,2021,09.09(목),KIA3vs5키움,고척
35,2021,09.11(토),NC3vs5KIA,광주
36,2021,09.16(목),KIA6vs5삼성,대구
37,2021,09.18(토),KIA9vs6LG,잠실
38,2021,09.21(화),KT11vs5KIA,광주
39,2021,09.28(화),KIA9vs10NC,창원
40,2021,09.30(목),키움2vs0KIA,광주
41,2021,10.05(화),KIA3vs13롯데,사직
42,2021,10.07(목),LG8vs1KIA,광주
43,2021,10.09(토),KIA6vs4한화,대전
44,2021,10.12(화),삼성2vs1KIA,광주
45,2021,10.15(금),KIA7vs7KT,수원
46,2021,10.16(토),KIA6vs4두산,잠실
47,2021,10.19(화),SSG4vs5KIA,광주
48,2021,10.22(금),KIA5vs3NC,창원
49,2021,10.27(수),KIA3vs2롯데,사직
50,2021,10.29(금),두산11vs5KIA,광주
