,year,date,score,place
0,2021,04.03(토),한화vsKT,수원
1,2021,04.09(금),KT5vs7삼성,대구
2,2021,04.13(화),KT8vs7두산,잠실
3,2021,04.16(금),키움4vs8KT,수원
4,2021,04.20(화),KT5vs2NC,창원
5,2021,04.23(금),롯데10vs5KT,수원
6,2021,04.27(화),KT14vs5SSG,문학
7,2021,04.30(금),KIA3vs15KT,수원
8,2021,05.04(화),KTvs키움,고척
9,2021,05.07(금),NCvsKT,수원
10,2021,05.14(금),KT9vs1롯데,사직
11,2021,05.18(화),두산0vs1KT,수원
12,2021,05.21(금),KT0vs4한화,대전
13,2021,05.25(화),SSGvsKT,수원
14,2021,05.28(금),KT6vs7KIA,광주
15,2021,06.01(화),KT8vs1LG,잠실
16,2021,06.04(금),롯데15vs0KT,수원
17,2021,06.08(화),KT4vs2SSG,문학
18,2021,06.11(금),한화5vs6KT,수원
19,2021,06.15(화),KTvsNC,창원
20,2021,06.18(금),두산11vs3KT,수원
21,2021,06.25(금),KT2vs0한화,대전
22,2021,06.29(화),KTvsLG,잠실
23,2021,07.02(금),키움1vs4KT,수원
24,2021,07.06(화),KTvs삼성,대구
25,2021,07.09(금),KT4vs10KIA,광주
26,2021,07.13(화),NCvsKT,수원
27,2021,07.16(금),KTvs두산,잠실
28,2021,08.10(화),KT1vs3키움,고척
29,2021,08.13(금),삼성6vs7KT,수원
30,2021,08.20(금),KT5vs4롯데,사직
31,2021,08.25(수),SSG1vs7KT,수원
32,2021,08.31(화),KT2vs5한화,대전
33,2021,09.02(목),KT0vs1키움,고척
34,2021,09.04(토),KT11vs1LG,잠실
35,2021,09.07(화),KIAvsKT,수원
36,2021,09.09(목),KT7vs8삼성,대구
37,2021,09.11(토),SSG2vs2KT,수원
38,2021,09.14(화),KT4vs3두산,잠실
39,2021,09.16(목),롯데4vs7KT,수원
40,2021,09.18(토),KT8vs1NC,창원
41,2021,09.21(화),KT11vs5KIA,광주
42,2021,09.23(목),한화1vs3KT,수원
43,2021,09.30(목),KT4vs8롯데,사직
44,2021,10.02(토),KT2vs2SSG,문학
45,2021,10.05(화),NC4vs4KT,수원
46,2021,10.09(토),KT1vs6LG,잠실
47,2021,10.15(금),KIA7vs7KT,수원
48,2021,10.19(화),KT2vs4NC,창원
49,2021,10.20(수),KT0vs3KIA,광주
50,2021,10.22(금),KT2vs4삼성,대구
51,2021,10.24(일),키움1vs7KT,수원
52,2021,10.29(금),KT2vs4키움,고척
53,2021,10.30(토),KT8vs3SSG,문학
54,2021,10.31(일),KT1vs0삼성,대구
