,year,date,score,place
0,2021,04.09(금),SSG5vs9LG,잠실
1,2021,04.13(화),NC4vs2SSG,문학
2,2021,04.20(화),SSG10vs7삼성,대구
3,2021,04.23(금),SSG9vs5키움,고척
4,2021,04.27(화),KT14vs5SSG,문학
5,2021,04.30(금),SSG4vs9두산,잠실
6,2021,05.04(화),SSGvsNC,창원
7,2021,05.07(금),키움vsSSG,문학
8,2021,05.11(화),SSG7vs6롯데,사직
9,2021,05.14(금),두산6vs3SSG,문학
10,2021,05.18(화),SSG7vs5KIA,광주
11,2021,05.21(금),LG5vs6SSG,문학
12,2021,05.25(화),SSGvsKT,수원
13,2021,05.28(금),SSG12vs3한화,대전
14,2021,06.01(화),삼성0vs1SSG,문학
15,2021,06.04(금),SSG2vs3두산,잠실
16,2021,06.08(화),KT4vs2SSG,문학
17,2021,06.15(화),SSGvsKIA,광주
18,2021,06.18(금),SSG3vs4한화,대전
19,2021,06.22(화),LG14vs1SSG,문학
20,2021,06.25(금),SSG10vs11NC,창원
21,2021,06.29(화),삼성3vs10SSG,문학
22,2021,07.06(화),SSG0vs4키움,고척
23,2021,07.09(금),한화9vs3SSG,문학
24,2021,07.16(금),SSGvs롯데,사직
25,2021,08.10(화),SSG0vs4LG,잠실
26,2021,08.13(금),KIA8vs1SSG,문학
27,2021,08.20(금),SSG2vs3삼성,대구
28,2021,08.25(수),SSG1vs7KT,수원
29,2021,08.28(토),KIA4vs12SSG,문학
30,2021,09.04(토),SSG2vs9키움,고척
31,2021,09.07(화),LGvsSSG,문학
32,2021,09.09(목),SSG9vs2롯데,사직
33,2021,09.11(토),SSG2vs2KT,수원
34,2021,09.14(화),한화11vs5SSG,문학
35,2021,09.16(목),SSG3vs3두산,잠실
36,2021,09.18(토),삼성9vs4SSG,문학
37,2021,09.25(토),SSG1vs7KIA,광주
38,2021,09.28(화),SSG7vs2삼성,대구
39,2021,09.30(목),SSG2vs6NC,창원
40,2021,10.02(토),KT2vs2SSG,문학
41,2021,10.05(화),SSG8vs0LG,잠실
42,2021,10.07(목),SSG3vs4한화,대전
43,2021,10.09(토),롯데0vs2SSG,문학
44,2021,10.16(토),SSG8vs4롯데,사직
45,2021,10.19(화),SSG4vs5KIA,광주
46,2021,10.20(수),NC7vs7SSG,문학
47,2021,10.24(일),SSG3vs3삼성,대구
48,2021,10.26(화),SSG7vs5NC,창원
49,2021,10.27(수),두산8vs5SSG,문학
