year,date,경기,승패여부,거리
2017,04.01(토),KIA9vs7삼성,1,0.0
2017,04.04(화),SK1vs6KIA,1,178.9
2017,04.11(화),KIA4vs16두산,0,261.4
2017,04.14(금),넥센2vs3KIA,1,261.4
2017,04.18(화),KIA5vs0KT,1,237.6
2017,04.21(금),KIA2vs6LG,0,24.4
2017,04.25(화),삼성3vs11KIA,1,261.4
2017,05.02(화),KIA9vs3넥센,1,259.4
2017,05.05(금),KIA5vs3롯데,1,323.2
2017,05.09(화),KT4vs9KIA,1,197.7
2017,05.12(금),KIA2vs8SK,0,253.2
2017,05.16(화),LG2vs3KIA,1,253.2
2017,05.23(화),KIA13vs8한화,1,136.8
2017,05.26(금),롯데8vs2KIA,0,136.8
2017,05.30(화),KIA9vs7NC,1,154.3
2017,06.02(금),KIA1vs5삼성,0,69.4
2017,06.06(화),한화vsKIA,-1,178.9
2017,06.13(화),KIA10vs7롯데,1,197.7
2017,06.16(금),LG9vs8KIA,0,197.7
2017,06.23(금),KIA1vs4NC,0,154.3
2017,06.27(화),삼성4vs11KIA,1,154.3
2017,06.30(금),KIA10vs6LG,1,261.4
2017,07.04(화),KIA15vs6SK,1,34.5
2017,07.07(금),KIAvsKT,-1,32.2
2017,07.11(화),NC4vs7KIA,1,237.6
2017,07.18(화),KIA4vs3넥센,1,259.4
2017,07.21(금),롯데4vs3KIA,0,259.4
2017,07.28(금),KIA3vs3두산,-1,261.4
2017,08.01(화),KT15vs7KIA,0,261.4
2017,08.04(금),KIA3vs7한화,0,136.8
2017,08.08(화),넥센5vs3KIA,0,136.8
2017,08.10(목),KIAvsKT,-1,237.6
2017,08.12(토),LG10vs11KIA,1,237.6
2017,08.17(목),KIA1vs4두산,0,261.4
2017,08.19(토),SK13vs1KIA,0,261.4
2017,08.24(목),KIAvs한화,-1,136.8
2017,08.26(토),KIA8vs7NC,1,160.3
2017,08.29(화),KIA10vs9삼성,1,69.4
2017,08.31(목),두산4vs9KIA,1,178.9
2017,09.02(토),KIA7vs4넥센,1,259.4
2017,09.05(화),KIA3vs4LG,0,18.1
2017,09.07(목),한화11vs2KIA,0,261.4
2017,09.12(화),KIA6vs2SK,1,253.2
2017,09.14(목),KIA11vs2롯데,1,327.8
2017,09.16(토),KT3vs17KIA,1,197.7
2017,09.28(목),KIA7vs4한화,1,136.8
2017,10.01(일),KIA2vs20KT,0,
