year,date,경기,승패여부,거리
2017,04.01(토),KT2vs0SK,1,0.0
2017,04.04(화),두산2vs0KT,0,32.2
2017,04.11(화),KT2vs12넥센,0,25.8
2017,04.14(금),KT2vs5LG,0,18.1
2017,04.18(화),KIA5vs0KT,0,24.4
2017,04.25(화),KT1vs2NC,0,271.0
2017,04.28(금),LG2vs1KT,0,271.0
2017,05.05(금),KT1vs13한화,0,115.4
2017,05.09(화),KT4vs9KIA,0,136.8
2017,05.12(금),NC8vs5KT,0,237.6
2017,05.16(화),KT0vs6롯데,0,298.1
2017,05.19(금),넥센4vs3KT,0,298.1
2017,05.23(화),KT12vs3삼성,1,220.7
2017,05.26(금),KT5vs3두산,1,235.1
2017,05.30(화),SK8vs3KT,0,24.4
2017,06.02(금),KT11vs8롯데,1,298.1
2017,06.06(화),LGvsKT,-1,298.1
2017,06.09(금),KT5vs6NC,0,271.0
2017,06.13(화),KT0vs4삼성,0,69.4
2017,06.16(금),한화15vs14KT,0,220.7
2017,06.23(금),KT2vs4SK,0,32.2
2017,06.27(화),KT1vs4한화,0,140.8
2017,06.30(금),넥센9vs5KT,0,115.4
2017,07.04(화),KT1vs8두산,0,24.4
2017,07.07(금),KIAvsKT,-1,24.4
2017,07.18(화),KT2vs3LG,0,24.4
2017,07.21(금),KT0vs2넥센,0,18.1
2017,07.25(화),두산6vs5KT,0,25.8
2017,08.01(화),KT15vs7KIA,1,237.6
2017,08.04(금),SK6vs5KT,0,237.6
2017,08.08(화),KT4vs5롯데,0,298.1
2017,08.10(목),KIAvsKT,-1,298.1
2017,08.12(토),KT3vs8SK,0,32.2
2017,08.15(화),KTvsLG,-1,34.5
2017,08.17(목),삼성6vs4KT,0,24.4
2017,08.24(목),KT1vs7NC,0,271.0
2017,08.26(토),KT8vs14삼성,0,69.4
2017,08.29(화),NC13vs2KT,0,220.7
2017,08.31(목),KT1vs10한화,0,115.4
2017,09.02(토),SK15vs7KT,0,115.4
2017,09.07(목),KT7vs3두산,1,24.4
2017,09.09(토),롯데2vs3KT,1,24.4
2017,09.12(화),KT3vs2넥센,1,25.8
2017,09.14(목),LG11vs12KT,1,25.8
2017,09.16(토),KT3vs17KIA,0,237.6
2017,09.19(화),KT15vs7LG,1,261.4
2017,09.21(목),넥센5vs3KT,0,24.4
2017,09.23(토),KT3vs8KIA,0,237.6
2017,09.24(일),KT4vs6두산,0,261.4
2017,09.27(수),두산2vs3KT,1,
