year,date,경기,승패여부,거리
2017,04.01(토),KT2vs0SK,0,0.0
2017,04.04(화),SK1vs6KIA,0,253.2
2017,04.07(금),NC5vs3SK,0,253.2
2017,04.14(금),SK6vs2한화,1,140.8
2017,04.18(화),넥센4vs7SK,1,140.8
2017,04.25(화),SK8vs3LG,1,34.5
2017,04.28(금),SK7vs5삼성,1,235.1
2017,05.02(화),한화6vs5SK,0,251.2
2017,05.05(금),SK3vs5넥센,0,16.9
2017,05.09(화),SKvs두산,-1,18.1
2017,05.12(금),KIA2vs8SK,1,34.5
2017,05.19(금),SK11vs1NC,1,299.1
2017,05.23(화),SK6vs7롯데,0,43.7
2017,05.26(금),LG1vs6SK,1,327.8
2017,05.30(화),SK8vs3KT,1,32.2
2017,06.02(금),SK4vs5한화,0,115.4
2017,06.06(화),넥센5vs6SK,1,140.8
2017,06.09(금),SK1vs3LG,0,34.5
2017,06.13(화),한화11vs8SK,0,34.5
2017,06.16(금),SK2vs1삼성,1,251.2
2017,06.20(화),NC1vs7SK,1,251.2
2017,06.27(화),SK5vs1두산,1,34.5
2017,06.30(금),삼성5vs7SK,1,34.5
2017,07.07(금),SK6vs5롯데,1,327.8
2017,07.11(화),LG1vs6SK,1,327.8
2017,07.21(금),SK6vs10NC,0,299.1
2017,07.25(화),SK10vs11KIA,0,154.3
2017,07.28(금),롯데7vs8SK,1,253.2
2017,08.01(화),SK0vs3넥센,0,16.9
2017,08.04(금),SK6vs5KT,1,25.8
2017,08.08(화),NC0vs4SK,1,32.2
2017,08.10(목),SK2vs1LG,1,34.5
2017,08.12(토),KT3vs8SK,1,34.5
2017,08.15(화),SKvs한화,-1,140.8
2017,08.17(목),LG1vs6SK,1,140.8
2017,08.19(토),SK13vs1KIA,1,253.2
2017,08.22(화),두산10vs6SK,0,253.2
2017,08.24(목),SK9vs7삼성,1,251.2
2017,08.26(토),한화1vs2SK,1,251.2
2017,08.29(화),SK4vs8넥센,0,16.9
2017,08.31(목),삼성4vs5SK,1,16.9
2017,09.02(토),SK15vs7KT,1,32.2
2017,09.05(화),롯데2vs6SK,1,32.2
2017,09.07(목),SK3vs4NC,0,299.1
2017,09.09(토),넥센1vs2SK,1,299.1
2017,09.14(목),SK8vs6두산,1,34.5
2017,09.16(토),SK1vs6롯데,0,313.6
2017,09.19(화),SK7vs4KIA,1,197.7
2017,09.29(금),롯데7vs2SK,0,253.2
2017,09.30(토),SK4vs1한화,1,140.8
2017,10.03(화),SK3vs2두산,1,
