year,date,경기,승패여부,거리
2018,04.03(화),KT7vs1넥센,1,0.0
2018,04.06(금),한화vsKT,-1,25.8
2018,04.10(화),KT5vs4NC,1,271.0
2018,04.13(금),KT1vs3LG,0,288.6
2018,04.17(화),SK9vs5KT,0,24.4
2018,04.20(금),KT5vs4삼성,1,220.7
2018,04.24(화),롯데14vs8KT,0,220.7
2018,05.01(화),KT2vs4두산,0,24.4
2018,05.04(금),넥센11vs1KT,0,24.4
2018,05.11(금),KT2vs6롯데,0,298.1
2018,05.15(화),KT3vs0한화,1,193.3
2018,05.18(금),NC6vs1KT,0,115.4
2018,05.22(화),KT5vs8KIA,0,237.6
2018,05.25(금),LG7vs13KT,1,237.6
2018,05.29(화),KT14vs4삼성,1,220.7
2018,06.01(금),KT1vs8SK,0,251.2
2018,06.05(화),KIA11vs2KT,0,32.2
2018,06.12(화),KT2vs3두산,0,24.4
2018,06.15(금),KT4vs5NC,0,288.6
2018,06.19(화),롯데9vs7KT,0,271.0
2018,06.26(화),KTvsLG,-1,24.4
2018,06.29(금),NC3vs7KT,1,24.4
2018,07.06(금),KT9vs11롯데,0,298.1
2018,07.10(화),두산1vs9KT,1,298.1
2018,07.20(금),KT4vs6KIA,0,237.6
2018,07.24(화),KT9vs6넥센,1,259.4
2018,07.27(금),LG7vs9KT,1,25.8
2018,07.31(화),KT5vs4한화,1,115.4
2018,08.04(토),넥센3vs1KT,0,115.4
2018,08.07(화),KT12vs10NC,1,271.0
2018,08.09(목),두산4vs2KT,0,271.0
2018,08.11(토),KT3vs5한화,0,115.4
2018,08.14(화),NC0vs10KT,1,115.4
2018,09.08(토),KT12vs6넥센,1,25.8
2018,09.11(화),KT3vs4SK,0,16.9
2018,09.13(목),KT3vs10두산,0,34.5
2018,09.15(토),삼성7vs5KT,0,24.4
2018,09.20(목),KT10vs11롯데,0,298.1
2018,09.22(토),KT6vs1LG,1,313.6
2018,09.25(화),KIA9vs7KT,0,24.4
2018,09.27(목),KT6vs7삼성,0,220.7
2018,09.29(토),롯데8vs3KT,0,220.7
2018,10.02(화),KT6vs10LG,0,24.4
2018,10.06(토),삼성1vs6KT,1,24.4
2018,10.10(수),KT10vs1롯데,1,298.1
2018,10.12(금),넥센10vs5KT,0,298.1
2018,10.13(토),KT4vs3두산,1,
