year,date,경기,승패여부,거리
2018,04.01(일),KIA5vs6LG,1,0.0
2018,04.06(금),LG14vs6롯데,1,313.6
2018,04.10(화),SK4vs1LG,0,313.6
2018,04.17(화),LG4vs5KIA,0,261.4
2018,04.20(금),LG9vs4NC,1,154.3
2018,04.24(화),넥센2vs8LG,1,288.6
2018,05.01(화),LG5vs6한화,0,136.8
2018,05.04(금),두산11vs8LG,0,136.8
2018,05.11(금),LG14vs9SK,1,34.5
2018,05.15(화),LG2vs4삼성,0,251.2
2018,05.18(금),한화4vs3LG,0,235.1
2018,05.25(금),LG7vs13KT,0,24.4
2018,05.29(화),LG5vs3롯데,1,298.1
2018,06.01(금),넥센1vs3LG,1,313.6
2018,06.08(금),LG9vs5삼성,1,235.1
2018,06.12(화),LG4vs8NC,0,69.4
2018,06.15(금),KIA3vs4LG,1,288.6
2018,06.19(화),LG4vs0한화,1,136.8
2018,06.22(금),롯데1vs2LG,1,136.8
2018,06.29(금),LG1vs10SK,0,34.5
2018,07.03(화),NC13vs6LG,0,34.5
2018,07.06(금),LG4vs13KIA,0,261.4
2018,07.10(화),SK10vs3LG,0,261.4
2018,07.17(화),LG9vs3넥센,1,18.1
2018,07.20(금),두산5vs4LG,0,18.1
2018,07.27(금),LG7vs9KT,0,24.4
2018,07.31(화),LG2vs6두산,0,24.4
2018,08.07(화),LG3vs4롯데,0,313.6
2018,08.09(목),삼성9vs6LG,0,313.6
2018,08.11(토),LG8vs13넥센,0,18.1
2018,08.14(화),LG8vs14KIA,0,259.4
2018,08.16(목),LG14vs3SK,1,253.2
2018,09.04(화),LG3vs4KT,0,32.2
2018,09.06(목),NC3vs6LG,1,24.4
2018,09.13(목),LG6vs5삼성,1,235.1
2018,09.15(토),LG12vs4한화,1,124.5
2018,09.18(화),롯데4vs1LG,0,136.8
2018,09.25(화),LG7vs16SK,0,34.5
2018,09.27(목),KIA1vs9LG,1,34.5
2018,10.13(토),LG3vs2SK,1,
