year,date,경기,승패여부,거리
2018,04.01(일),NC2vs3롯데,0,0.0
2018,04.03(화),삼성3vs4NC,1,43.7
2018,04.06(금),NCvs두산,-1,288.6
2018,04.10(화),KT5vs4NC,0,288.6
2018,04.13(금),NC2vs4SK,0,299.1
2018,04.17(화),NC3vs2넥센,1,16.9
2018,04.20(금),LG9vs4NC,0,296.4
2018,04.24(화),NC2vs7삼성,0,69.4
2018,04.27(금),두산6vs2NC,0,69.4
2018,05.04(금),NC6vs5KIA,1,154.3
2018,05.08(화),SK0vs9NC,1,154.3
2018,05.11(금),NC4vs2한화,1,160.3
2018,05.15(화),롯데5vs3NC,0,160.3
2018,05.18(금),NC6vs1KT,1,271.0
2018,05.22(화),NC1vs6LG,0,24.4
2018,05.25(금),KIA14vs2NC,0,288.6
2018,05.29(화),NC2vs7한화,0,160.3
2018,06.01(금),삼성5vs3NC,0,160.3
2018,06.08(금),NC1vs6두산,0,288.6
2018,06.12(화),LG4vs8NC,1,288.6
2018,06.19(화),NCvsKIA,-1,154.3
2018,06.22(금),한화5vs0NC,0,154.3
2018,06.29(금),NC3vs7KT,0,271.0
2018,07.03(화),NC13vs6LG,1,24.4
2018,07.06(금),NC2vs6넥센,0,18.1
2018,07.10(화),KIA6vs8NC,1,296.4
2018,07.17(화),NC4vs10SK,0,299.1
2018,07.20(금),넥센8vs10NC,1,299.1
2018,07.24(화),NC3vs2롯데,1,43.7
2018,07.27(금),SK0vs1NC,1,43.7
2018,07.31(화),NC4vs4삼성,-1,69.4
2018,08.04(토),NC7vs5한화,1,124.5
2018,08.07(화),KT12vs10NC,0,160.3
2018,08.11(토),NC7vs1삼성,1,69.4
2018,08.14(화),NC0vs10KT,0,220.7
2018,09.04(화),삼성5vs3NC,0,271.0
2018,09.06(목),NC3vs6LG,0,288.6
2018,09.08(토),롯데1vs7NC,1,288.6
2018,09.15(토),NC13vs7두산,1,288.6
2018,09.18(화),한화3vs10NC,1,288.6
2018,09.20(목),NC6vs7KIA,0,154.3
2018,09.22(토),두산13vs10NC,0,154.3
2018,09.25(화),NC7vs8롯데,0,43.7
2018,09.27(목),NC4vs11SK,0,327.8
2018,09.29(토),NC5vs6넥센,0,16.9
2018,10.02(화),NC6vs5KIA,1,259.4
2018,10.06(토),넥센5vs6NC,1,154.3
2018,10.12(금),NC2vs13두산,0,288.6
2018,10.13(토),NC8vs10한화,0,
