year,date,경기,승패여부,거리
2018,04.03(화),KT7vs1넥센,0,0.0
2018,04.06(금),넥센5vs11KIA,0,259.4
2018,04.10(화),넥센3vs4롯데,0,197.7
2018,04.13(금),두산12vs0넥센,0,323.2
2018,04.20(금),넥센6vs1한화,0,140.7
2018,04.24(화),넥센2vs8LG,0,136.8
2018,04.27(금),SK8vs3넥센,0,18.1
2018,05.01(화),넥센13vs4NC,0,296.4
2018,05.04(금),넥센11vs1KT,0,271.0
2018,05.08(화),한화10vs9넥센,0,25.8
2018,05.11(금),넥센10vs5두산,0,18.1
2018,05.15(화),KIA2vs1넥센,0,18.1
2018,05.22(화),넥센10vs4SK,0,16.9
2018,05.25(금),롯데2vs13넥센,0,16.9
2018,05.29(화),넥센12vs8KIA,0,259.4
2018,06.01(금),넥센1vs3LG,0,261.4
2018,06.05(화),두산6vs13넥센,0,18.1
2018,06.08(금),넥센11vs5KT,0,25.8
2018,06.12(화),한화6vs2넥센,0,25.8
2018,06.19(화),넥센6vs5두산,0,18.1
2018,06.22(금),KIA8vs5넥센,0,18.1
2018,06.26(화),넥센9vs3롯데,0,323.2
2018,06.29(금),넥센8vs7삼성,0,79.8
2018,07.03(화),SK9vs3넥센,0,245.5
2018,07.10(화),넥센1vs4한화,0,140.7
2018,07.17(화),LG9vs3넥센,0,140.7
2018,07.20(금),넥센8vs10NC,0,296.4
2018,07.24(화),KT9vs6넥센,0,296.4
2018,07.31(화),넥센3vs1SK,0,16.9
2018,08.04(토),넥센3vs1KT,0,32.2
2018,08.07(화),KIA1vs9넥센,0,25.8
2018,08.09(목),넥센16vs5한화,0,140.7
2018,08.11(토),LG8vs13넥센,0,140.7
2018,08.14(화),넥센11vs10삼성,0,245.5
2018,08.16(목),넥센2vs8두산,0,235.1
2018,09.04(화),넥센7vs3SK,0,34.5
2018,09.06(목),넥센2vs7KIA,0,253.2
2018,09.08(토),KT12vs6넥센,0,259.4
2018,09.11(화),넥센3vs1LG,0,18.1
2018,09.13(목),넥센vsNC,-1,288.6
2018,09.15(토),넥센6vs5롯데,0,43.7
2018,09.18(화),두산7vs10넥센,0,323.2
2018,09.25(화),넥센2vs13두산,0,18.1
2018,09.27(목),롯데8vs6넥센,0,18.1
2018,10.06(토),넥센5vs6NC,0,296.4
2018,10.12(금),넥센10vs5KT,0,271.0
2018,10.13(토),넥센5vs12삼성,0,
