year,date,경기,승패여부,거리
2019,04.02(화),KIA4vs1삼성,1,0.0
2019,04.05(금),키움4vs6KIA,1,178.9
2019,04.12(금),KIA4vs4SK,-1,253.2
2019,04.16(화),KIA9vs10롯데,0,327.8
2019,04.19(금),두산8vs6KIA,0,197.7
2019,04.23(화),KIA2vs9LG,0,261.4
2019,04.26(금),KIA4vs8키움,0,18.1
2019,04.30(화),삼성0vs8KIA,1,259.4
2019,05.03(금),KIA8vs4NC,1,154.3
2019,05.07(화),KIA3vs4두산,0,288.6
2019,05.10(금),SK4vs1KIA,0,261.4
2019,05.17(금),KIA5vs2한화,1,136.8
2019,05.21(화),롯데6vs10KIA,1,136.8
2019,05.28(화),KIA0vs2한화,0,136.8
2019,05.31(금),키움2vs3KIA,1,136.8
2019,06.07(금),KIA1vs2NC,0,154.3
2019,06.11(화),삼성1vs7KIA,1,154.3
2019,06.14(금),KIAvs롯데,-1,197.7
2019,06.18(화),SK2vs4KIA,1,197.7
2019,06.21(금),KIA8vs9LG,0,261.4
2019,06.25(화),KIA3vs7키움,0,18.1
2019,06.28(금),KIA1vs9KT,0,25.8
2019,07.02(화),NC3vs5KIA,1,237.6
2019,07.09(화),KIA2vs3삼성,0,178.9
2019,07.12(금),한화0vs5KIA,1,178.9
2019,07.26(금),KIAvs두산,-1,261.4
2019,07.30(화),KIA2vs0SK,1,34.5
2019,08.03(토),NC1vs5KIA,1,253.2
2019,08.10(토),KIA7vs2삼성,1,178.9
2019,08.13(화),두산5vs2KIA,0,178.9
2019,08.20(화),KIA3vs15LG,0,261.4
2019,08.22(목),KIA5vs5키움,-1,18.1
2019,08.24(토),KIA3vs4SK,0,16.9
2019,08.27(화),삼성10vs1KIA,0,253.2
2019,08.29(목),KIA3vs4NC,0,154.3
2019,08.31(토),롯데2vs4KIA,1,154.3
2019,09.03(화),KIA6vs5한화,1,136.8
2019,09.05(목),KIAvsKT,-1,115.4
2019,09.07(토),키움7vs3KIA,0,237.6
2019,09.10(화),KIA4vs8롯데,0,197.7
2019,09.12(목),KIA0vs5두산,0,313.6
2019,09.17(화),NC2vs3KIA,1,261.4
2019,09.19(목),KIA2vs12삼성,0,178.9
2019,09.20(금),KIA2vs6두산,0,235.1
2019,09.23(월),KIA1vs2KT,0,24.4
2019,09.24(화),키움0vs5KIA,1,237.6
2019,09.26(목),KIA3vs1롯데,1,197.7
2019,09.28(토),LG1vs7KIA,1,
