year,date,경기,승패여부,거리
2019,04.09(화),SKvs한화,-1,0.0
2019,04.12(금),KIA4vs4SK,-1,140.8
2019,04.16(화),SK3vs8두산,0,34.5
2019,04.19(금),NC14vs11SK,0,34.5
2019,04.23(화),SKvs삼성,-1,251.2
2019,04.26(금),SK2vs0KT,1,220.7
2019,04.30(화),키움15vs5SK,0,32.2
2019,05.03(금),SK11vs7롯데,1,327.8
2019,05.07(화),한화2vs11SK,1,327.8
2019,05.10(금),SK4vs1KIA,1,253.2
2019,05.14(화),SK2vs8NC,0,154.3
2019,05.17(금),두산3vs1SK,0,299.1
2019,05.21(화),SK4vs2LG,1,34.5
2019,05.24(금),SK4vs2NC,1,288.6
2019,05.28(화),KT0vs1SK,1,299.1
2019,06.04(화),SK2vs1키움,1,16.9
2019,06.07(금),삼성2vs4SK,1,16.9
2019,06.11(화),SK13vs1KT,1,32.2
2019,06.14(금),NC3vs7SK,1,32.2
2019,06.18(화),SK2vs4KIA,0,253.2
2019,06.21(금),두산1vs14SK,1,253.2
2019,06.25(화),SK8vs3LG,1,34.5
2019,06.28(금),SK3vs9삼성,0,235.1
2019,07.02(화),롯데1vs10SK,1,251.2
2019,07.05(금),SK8vs6두산,1,34.5
2019,07.09(화),SK0vs1한화,0,136.8
2019,07.12(금),키움6vs2SK,0,140.8
2019,07.26(금),SK8vs6롯데,1,327.8
2019,07.30(화),KIA2vs0SK,0,327.8
2019,08.03(토),SK3vs0한화,1,140.8
2019,08.06(화),KT3vs0SK,0,140.8
2019,08.08(목),SK6vs1키움,1,16.9
2019,08.10(토),SK2vs0LG,1,18.1
2019,08.13(화),삼성1vs4SK,1,34.5
2019,08.15(목),SK7vs6KIA,1,253.2
2019,08.17(토),SK0vs9NC,0,154.3
2019,08.20(화),롯데0vs5SK,1,299.1
2019,08.27(화),SK2vs4두산,0,34.5
2019,08.29(목),SK4vs5삼성,0,235.1
2019,08.31(토),LG6vs4SK,0,251.2
2019,09.07(토),SKvsKT,-1,32.2
2019,09.10(화),키움vsSK,-1,32.2
2019,09.12(목),SK2vs1롯데,1,327.8
2019,09.14(토),두산6vs7SK,1,327.8
2019,09.21(토),SKvs한화,-1,140.8
2019,09.24(화),SK3vs7KT,0,115.4
2019,09.25(수),삼성0vs1SK,1,32.2
2019,09.27(금),SK4vs0삼성,1,251.2
2019,09.29(일),SK2vs0한화,1,
