year,date,경기,승패여부,거리
2019,04.05(금),한화2vs5롯데,0,0.0
2019,04.09(화),SKvs한화,-1,193.3
2019,04.12(금),한화3vs5키움,0,140.7
2019,04.16(화),한화2vs4KT,0,25.8
2019,04.19(금),삼성3vs4한화,0,115.4
2019,04.26(금),한화vsNC,-1,160.3
2019,04.30(화),두산1vs2한화,0,160.3
2019,05.07(화),한화2vs11SK,0,140.8
2019,05.10(금),한화5vs2LG,0,34.5
2019,05.14(화),키움3vs7한화,0,136.8
2019,05.21(화),한화3vs9삼성,0,124.5
2019,05.24(금),한화4vs3두산,0,235.1
2019,05.28(화),KIA0vs2한화,0,136.8
2019,05.31(금),한화1vs2SK,0,140.8
2019,06.04(화),한화2vs3롯데,0,327.8
2019,06.07(금),LG2vs3한화,0,193.3
2019,06.14(금),한화7vs8키움,0,140.7
2019,06.18(화),롯데11vs3한화,0,140.7
2019,06.25(화),한화14vs3NC,0,160.3
2019,06.28(금),키움6vs5한화,0,160.3
2019,07.02(화),한화2vs9LG,0,136.8
2019,07.05(금),KT10vs3한화,0,136.8
2019,07.12(금),한화0vs5KIA,0,136.8
2019,07.16(화),NC3vs2한화,0,136.8
2019,07.26(금),한화8vs9삼성,0,124.5
2019,07.30(화),한화2vs3KT,0,220.7
2019,08.03(토),SK3vs0한화,0,115.4
2019,08.06(화),한화3vs8두산,0,136.8
2019,08.08(목),한화2vs5KIA,0,261.4
2019,08.10(토),한화4vs5KT,0,237.6
2019,08.13(화),NC10vs2한화,0,115.4
2019,08.15(목),한화5vs11롯데,0,193.3
2019,08.17(토),한화8vs4키움,0,323.2
2019,08.20(화),삼성5vs0한화,0,140.7
2019,08.22(목),한화6vs8SK,0,140.8
2019,08.24(토),두산13vs3한화,0,140.8
2019,08.29(목),한화vsLG,-1,136.8
2019,08.31(토),KT6vs1한화,0,136.8
2019,09.05(목),한화3vs0NC,0,160.3
2019,09.07(토),롯데1vs5한화,0,160.3
2019,09.12(목),한화vs삼성,-1,124.5
2019,09.14(토),롯데2vs5한화,0,124.5
2019,09.16(월),한화11vs1삼성,0,124.5
2019,09.17(화),키움0vs1한화,0,124.5
2019,09.23(월),한화9vs1LG,0,136.8
2019,09.25(수),한화3vs2NC,0,288.6
2019,09.28(토),한화6vs7두산,0,288.6
2019,09.29(일),SK2vs0한화,0,
