year,date,경기,승패여부,거리
2019,04.02(화),LG2vs6한화,0,0.0
2019,04.05(금),LG13vs0KT,1,115.4
2019,04.09(화),삼성vsLG,-1,24.4
2019,04.16(화),LG7vs2NC,1,288.6
2019,04.19(금),키움13vs3LG,0,288.6
2019,04.26(금),LGvs삼성,-1,235.1
2019,04.30(화),KT9vs10LG,1,235.1
2019,05.07(화),LG12vs10키움,1,18.1
2019,05.10(금),한화5vs2LG,0,18.1
2019,05.14(화),LG0vs4롯데,0,313.6
2019,05.17(금),NC13vs2LG,0,313.6
2019,05.24(금),LG5vs8롯데,0,313.6
2019,05.28(화),LG0vs5키움,0,323.2
2019,05.31(금),NC2vs3LG,1,18.1
2019,06.07(금),LG2vs3한화,0,136.8
2019,06.11(화),롯데1vs1LG,-1,136.8
2019,06.18(화),LG5vs12삼성,0,235.1
2019,06.21(금),KIA8vs9LG,1,235.1
2019,06.28(금),LG6vs2NC,1,288.6
2019,07.02(화),한화2vs9LG,1,288.6
2019,07.05(금),LG1vs6KIA,0,261.4
2019,07.09(화),두산11vs4LG,0,261.4
2019,07.16(화),LG4vs10SK,0,34.5
2019,07.26(금),LGvsKT,-1,32.2
2019,07.30(화),키움4vs2LG,0,24.4
2019,08.06(화),LG17vs4KIA,1,261.4
2019,08.08(목),LG2vs13NC,0,154.3
2019,08.10(토),SK2vs0LG,0,288.6
2019,08.17(토),LG2vs7삼성,0,235.1
2019,08.20(화),KIA3vs15LG,1,235.1
2019,08.27(화),LG2vs1롯데,1,313.6
2019,08.29(목),한화vsLG,-1,313.6
2019,08.31(토),LG6vs4SK,1,34.5
2019,09.03(화),LG5vs0KT,1,32.2
2019,09.05(목),롯데vsLG,-1,24.4
2019,09.10(화),LG5vs2한화,1,136.8
2019,09.12(목),LG2vs3키움,0,140.7
2019,09.14(토),KIA2vs7LG,1,18.1
2019,09.16(월),LG4vs2KT,1,24.4
2019,09.18(수),LG4vs3삼성,1,220.7
2019,09.19(목),LG3vs5NC,0,69.4
2019,09.22(일),LG6vs3두산,1,288.6
2019,09.26(목),LG4vs3KT,1,24.4
2019,09.27(금),NC3vs0LG,0,24.4
2019,09.28(토),LG1vs7KIA,0,261.4
2019,09.29(일),두산3vs0LG,0,
