year,date,경기,승패여부,거리
2019,04.02(화),KT0vs9두산,1,0.0
2019,04.09(화),두산vs롯데,-1,313.6
2019,04.12(금),두산0vs3LG,0,313.6
2019,04.19(금),두산8vs6KIA,1,261.4
2019,04.23(화),두산9vs3키움,1,259.4
2019,04.26(금),롯데8vs11두산,1,18.1
2019,04.30(화),두산1vs2한화,0,136.8
2019,05.03(금),LG2vs7두산,1,136.8
2019,05.10(금),두산11vs12NC,0,288.6
2019,05.14(화),삼성4vs3두산,0,288.6
2019,05.17(금),두산3vs1SK,1,34.5
2019,05.21(화),두산7vs12KT,0,32.2
2019,05.24(금),한화4vs3두산,0,24.4
2019,05.31(금),두산2vs3KT,0,24.4
2019,06.04(화),두산7vs2KIA,1,237.6
2019,06.07(금),키움1vs7두산,1,261.4
2019,06.11(화),두산1vs4한화,0,136.8
2019,06.14(금),LG4vs7두산,1,136.8
2019,06.21(금),두산1vs14SK,0,34.5
2019,06.25(화),두산2vs11삼성,0,251.2
2019,06.28(금),롯데2vs3두산,1,235.1
2019,07.02(화),두산3vs6키움,0,18.1
2019,07.05(금),SK8vs6두산,0,18.1
2019,07.12(금),두산1vs2롯데,0,313.6
2019,07.16(화),KT7vs2두산,0,313.6
2019,07.30(화),두산9vs1NC,1,288.6
2019,08.03(토),두산1vs2롯데,0,43.7
2019,08.06(화),한화3vs8두산,1,313.6
2019,08.10(토),두산2vs10키움,0,18.1
2019,08.13(화),두산5vs2KIA,1,259.4
2019,08.15(목),LGvs두산,-1,261.4
2019,08.20(화),두산2vs3NC,0,288.6
2019,08.22(목),두산13vs1삼성,1,69.4
2019,08.24(토),두산13vs3한화,1,124.5
2019,08.27(화),SK2vs4두산,1,136.8
2019,08.29(목),두산8vs11KT,0,24.4
2019,08.31(토),삼성3vs5두산,1,24.4
2019,09.05(목),두산vsSK,-1,34.5
2019,09.07(토),두산vsLG,-1,34.5
2019,09.14(토),두산6vs7SK,0,34.5
2019,09.15(일),두산4vs10LG,0,34.5
2019,09.19(목),두산6vs4SK,1,34.5
2019,09.20(금),KIA2vs6두산,1,34.5
2019,09.24(화),두산7vs7NC,-1,288.6
2019,09.25(수),두산7vs0롯데,1,43.7
2019,09.26(목),두산11vs0삼성,1,79.8
2019,09.28(토),한화6vs7두산,1,
