year,date,경기,승패여부,거리
2019,04.05(금),삼성0vs3SK,0,0.0
2019,04.09(화),삼성vsLG,-1,34.5
2019,04.12(금),KT0vs5삼성,0,235.1
2019,04.19(금),삼성3vs4한화,0,124.5
2019,04.23(화),SKvs삼성,-1,124.5
2019,04.30(화),삼성0vs8KIA,0,178.9
2019,05.03(금),삼성3vs8키움,0,259.4
2019,05.07(화),NC3vs6삼성,0,245.5
2019,05.14(화),삼성4vs3두산,0,235.1
2019,05.17(금),삼성14vs3KT,0,24.4
2019,05.21(화),한화3vs9삼성,0,220.7
2019,05.28(화),삼성1vs4두산,0,235.1
2019,05.31(금),삼성1vs6롯데,0,313.6
2019,06.04(화),NC1vs3삼성,0,79.8
2019,06.07(금),삼성2vs4SK,0,251.2
2019,06.11(화),삼성1vs7KIA,0,253.2
2019,06.14(금),KT4vs7삼성,0,178.9
2019,06.21(금),삼성5vs2한화,0,124.5
2019,06.25(화),두산2vs11삼성,0,124.5
2019,07.02(화),삼성3vs5KT,0,220.7
2019,07.05(금),삼성3vs7NC,0,271.0
2019,07.09(화),KIA2vs3삼성,0,69.4
2019,07.12(금),삼성6vs3LG,0,235.1
2019,07.16(화),삼성0vs6키움,0,18.1
2019,07.26(금),한화8vs9삼성,0,245.5
2019,08.03(토),삼성10vs13LG,0,235.1
2019,08.06(화),삼성vsNC,-1,288.6
2019,08.08(목),롯데8vs0삼성,0,69.4
2019,08.13(화),삼성1vs4SK,0,251.2
2019,08.15(목),삼성vsKT,-1,32.2
2019,08.17(토),LG2vs7삼성,0,220.7
2019,08.20(화),삼성5vs0한화,0,124.5
2019,08.22(목),두산13vs1삼성,0,124.5
2019,08.27(화),삼성10vs1KIA,0,178.9
2019,08.29(목),SK4vs5삼성,0,178.9
2019,08.31(토),삼성3vs5두산,0,235.1
2019,09.03(화),삼성5vs4롯데,0,313.6
2019,09.05(목),삼성4vs0키움,0,323.2
2019,09.07(토),NC8vs2삼성,0,245.5
2019,09.14(토),삼성1vs7NC,0,69.4
2019,09.16(월),한화11vs1삼성,0,69.4
2019,09.20(금),삼성3vs5한화,0,124.5
2019,09.21(토),삼성6vs3KT,0,115.4
2019,09.24(화),삼성4vs2LG,0,24.4
2019,09.25(수),삼성0vs1SK,0,34.5
2019,09.26(목),두산11vs0삼성,0,251.2
2019,09.29(일),삼성0vs7KT,0,
