year,date,경기,승패여부,거리
2020,05.05(화),한화3vs0SK,1,0.0
2020,05.08(금),한화3vs5키움,0,16.9
2020,05.12(화),KIA2vs1한화,0,140.7
2020,05.19(화),한화11vs13KT,0,115.4
2020,05.22(금),한화5vs3NC,1,271.0
2020,05.26(화),LG3vs0한화,0,160.3
2020,05.29(금),한화6vs8SK,0,140.8
2020,06.02(화),키움15vs3한화,0,140.8
2020,06.09(화),한화3vs9롯데,0,193.3
2020,06.12(금),두산5vs2한화,0,193.3
2020,06.19(금),한화1vs3NC,0,160.3
2020,06.23(화),한화4vs11삼성,0,69.4
2020,06.26(금),KT4vs7한화,1,124.5
2020,06.30(화),한화vsKIA,-1,136.8
2020,07.03(금),한화1vs2두산,0,261.4
2020,07.07(화),롯데6vs7한화,1,136.8
2020,07.14(화),한화2vs7KT,0,115.4
2020,07.17(금),한화0vs8LG,0,24.4
2020,07.21(화),KIA10vs2한화,0,136.8
2020,07.28(화),한화vs삼성,-1,124.5
2020,07.31(금),한화2vs1LG,1,235.1
2020,08.04(화),NCvs한화,-1,136.8
2020,08.11(화),한화7vs5키움,1,140.7
2020,08.14(금),삼성10vs1한화,0,140.7
2020,08.18(화),한화3vs9SK,0,140.8
2020,08.20(목),KT3vs0한화,0,140.8
2020,08.22(토),한화vsLG,-1,136.8
2020,08.25(화),한화3vs11NC,0,288.6
2020,08.27(목),삼성0vs7한화,1,160.3
2020,08.29(토),한화7vs9롯데,0,193.3
2020,09.01(화),한화0vs4두산,0,313.6
2020,09.03(목),키움6vs5한화,0,136.8
2020,09.08(화),한화4vs2삼성,1,124.5
2020,09.10(목),SK5vs1한화,0,124.5
2020,09.12(토),한화2vs5KT,0,115.4
2020,09.15(화),LG5vs6한화,1,115.4
2020,09.17(목),한화2vs5키움,0,140.7
2020,09.19(토),한화0vs8KIA,0,259.4
2020,09.22(화),두산1vs5한화,1,136.8
2020,10.02(금),한화1vs4롯데,0,193.3
2020,10.06(화),한화3vs2KIA,1,197.7
2020,10.09(금),키움6vs7한화,1,136.8
2020,10.13(화),한화0vs5두산,0,136.8
2020,10.16(금),삼성6vs2한화,0,136.8
2020,10.27(화),한화0vs3두산,0,136.8
2020,10.29(목),KT12vs1한화,0,
