year,date,경기,승패여부,거리
2020,05.05(화),롯데7vs2KT,1,0.0
2020,05.08(금),SK8vs9롯데,1,298.1
2020,05.15(금),롯데1vs2한화,0,193.3
2020,05.19(화),롯데2vs9KIA,0,136.8
2020,05.22(금),키움7vs9롯데,1,197.7
2020,05.29(금),롯데2vs4두산,0,313.6
2020,06.02(화),롯데2vs7KIA,0,261.4
2020,06.05(금),KT4vs6롯데,1,197.7
2020,06.12(금),롯데2vs3LG,0,313.6
2020,06.16(화),롯데7vs5키움,1,18.1
2020,06.19(금),롯데8vs9KT,0,25.8
2020,06.23(화),KIA3vs4롯데,1,298.1
2020,06.30(화),롯데10vs8NC,1,43.7
2020,07.03(금),SK7vs4롯데,0,43.7
2020,07.07(화),롯데6vs7한화,0,193.3
2020,07.10(금),두산10vs5롯데,0,193.3
2020,07.17(금),롯데10vs15삼성,0,79.8
2020,07.21(화),롯데7vs8SK,0,251.2
2020,07.24(금),롯데4vs2키움,1,16.9
2020,07.28(화),NC9vs11롯데,1,323.2
2020,08.04(화),롯데8vs0SK,1,327.8
2020,08.07(금),롯데8vs4두산,1,34.5
2020,08.11(화),NCvs롯데,-1,313.6
2020,08.20(목),롯데6vs5두산,1,313.6
2020,08.22(토),롯데5vs3삼성,1,235.1
2020,08.25(화),SK10vs8롯데,0,79.8
2020,09.01(화),롯데2vs11KT,0,298.1
2020,09.03(목),KIA4vs3롯데,0,298.1
2020,09.08(화),롯데2vs14NC,0,43.7
2020,09.10(목),삼성8vs13롯데,1,43.7
2020,09.12(토),롯데1vs2SK,0,327.8
2020,09.15(화),롯데8vs5키움,1,16.9
2020,09.17(목),롯데1vs9LG,0,18.1
2020,09.19(토),NC1vs5롯데,1,313.6
2020,09.24(목),롯데4vs7한화,0,193.3
2020,09.26(토),롯데16vs3KIA,1,136.8
2020,09.29(화),롯데8vs5LG,1,261.4
2020,10.02(금),한화1vs4롯데,1,313.6
2020,10.09(금),롯데3vs7삼성,0,79.8
2020,10.13(화),LG2vs17롯데,1,79.8
2020,10.16(금),롯데5vs6NC,0,43.7
2020,10.20(화),두산6vs1롯데,0,43.7
2020,10.21(수),롯데3vs11SK,0,327.8
2020,10.24(토),롯데1vs2두산,0,34.5
2020,10.25(일),롯데5vs10KT,0,24.4
2020,10.27(화),SK0vs1롯데,1,
