year,date,경기,승패여부,거리
2020,05.12(화),두산11vs6롯데,1,0.0
2020,05.15(금),두산13vs4KIA,1,197.7
2020,05.19(화),NC5vs4두산,0,261.4
2020,05.22(금),두산12vs7삼성,1,235.1
2020,05.26(화),SK4vs6두산,1,235.1
2020,06.02(화),두산11vs8KT,1,24.4
2020,06.05(금),KIA1vs5두산,1,24.4
2020,06.09(화),두산8vs12NC,0,288.6
2020,06.12(금),두산5vs2한화,1,160.3
2020,06.16(화),삼성4vs3두산,0,136.8
2020,06.23(화),두산9vs2SK,1,34.5
2020,06.26(금),NC9vs3두산,0,34.5
2020,06.30(화),두산2vs11키움,0,18.1
2020,07.03(금),한화1vs2두산,1,18.1
2020,07.10(금),두산10vs5롯데,1,313.6
2020,07.14(화),SK12vs7두산,0,313.6
2020,07.17(금),두산2vs4KIA,0,261.4
2020,07.21(화),키움1vs6두산,1,261.4
2020,07.31(금),두산7vs10NC,0,288.6
2020,08.04(화),삼성6vs3두산,0,288.6
2020,08.11(화),두산6vs1삼성,1,235.1
2020,08.14(금),KT5vs3두산,0,235.1
2020,08.18(화),두산9vs2롯데,1,313.6
2020,08.20(목),롯데6vs5두산,0,313.6
2020,08.22(토),두산8vs1SK,1,34.5
2020,08.25(화),KIA8vs10두산,1,34.5
2020,08.27(목),두산2vs8NC,0,288.6
2020,08.29(토),두산5vs5LG,-1,288.6
2020,09.03(목),두산10vs11삼성,0,235.1
2020,09.05(토),SK1vs5두산,1,235.1
2020,09.10(목),두산5vs4KIA,1,261.4
2020,09.12(토),두산0vs2키움,0,259.4
2020,09.15(화),NC3vs7두산,1,18.1
2020,09.17(목),두산0vs3KT,0,24.4
2020,09.19(토),LG9vs6두산,0,24.4
2020,09.22(화),두산1vs5한화,0,136.8
2020,09.24(목),삼성0vs1두산,1,136.8
2020,09.29(화),두산7vs3한화,1,136.8
2020,10.02(금),KIA3vs14두산,1,136.8
2020,10.06(화),두산9vs4SK,1,34.5
2020,10.09(금),두산4vs0KT,1,32.2
2020,10.13(화),한화0vs5두산,1,24.4
2020,10.16(금),두산4vs7키움,0,18.1
2020,10.20(화),두산6vs1롯데,1,323.2
2020,10.22(목),KT17vs5두산,0,313.6
2020,10.29(목),두산9vs2KIA,1,261.4
2020,10.30(금),키움0vs2두산,1,
