year,date,경기,승패여부,거리
2021,04.03(토),LGvsNC,-1,0.0
2021,04.09(금),NC10vs6KIA,1,154.3
2021,04.13(화),NC4vs2SSG,1,253.2
2021,04.16(금),한화1vs9NC,1,299.1
2021,04.23(금),NC1vs5두산,0,288.6
2021,04.27(화),NC0vs9삼성,0,235.1
2021,04.30(금),키움4vs3NC,0,69.4
2021,05.07(금),NCvsKT,-1,271.0
2021,05.11(화),NC7vs2한화,1,115.4
2021,05.14(금),KIA2vs5NC,1,160.3
2021,05.18(화),NC0vs1LG,0,288.6
2021,05.21(금),NC0vs2키움,0,18.1
2021,05.25(화),삼성vsNC,-1,296.4
2021,05.28(금),NCvs롯데,-1,43.7
2021,06.01(화),두산4vs3NC,0,43.7
2021,06.08(화),NC1vs2LG,0,288.6
2021,06.11(금),NC5vs4삼성,1,235.1
2021,06.15(화),KTvsNC,-1,69.4
2021,06.22(화),NC5vs2롯데,1,43.7
2021,06.25(금),SSG10vs11NC,1,43.7
2021,06.29(화),NC7vs3KIA,1,154.3
2021,07.02(금),삼성5vs2NC,0,154.3
2021,07.06(화),NC7vs3두산,1,288.6
2021,07.09(금),NCvs키움,-1,18.1
2021,07.13(화),NCvsKT,-1,25.8
2021,07.16(금),KIAvsNC,-1,271.0
2021,08.13(금),NC5vs1한화,1,160.3
2021,08.17(화),NCvsSSG,-1,140.8
2021,08.20(금),LG3vs8NC,1,299.1
2021,08.28(토),NC1vs9한화,0,160.3
2021,08.31(화),NCvsSSG,-1,140.8
2021,09.02(목),NC0vs5LG,0,34.5
2021,09.04(토),롯데8vs2NC,0,288.6
2021,09.11(토),NC3vs5KIA,0,154.3
2021,09.14(화),키움8vs10NC,1,154.3
2021,09.21(화),NC2vs12두산,0,288.6
2021,09.23(목),NC1vs4키움,0,18.1
2021,09.25(토),NC0vs1삼성,0,245.5
2021,09.28(화),KIA9vs10NC,1,69.4
2021,10.02(토),NC4vs4롯데,-1,43.7
2021,10.05(화),NC4vs4KT,-1,298.1
2021,10.07(목),삼성5vs4NC,0,271.0
2021,10.12(화),NC2vs13키움,0,296.4
2021,10.15(금),NC5vs0두산,1,18.1
2021,10.16(토),LG1vs2NC,1,288.6
2021,10.20(수),NC7vs7SSG,-1,299.1
2021,10.22(금),KIA5vs3NC,0,299.1
2021,10.27(수),NC9vs6KT,1,271.0
2021,10.29(금),삼성1vs3NC,1,
