year,date,경기,승패여부,거리
2021,04.03(토),삼성1vs6키움,0,0.0
2021,04.06(화),삼성3vs6두산,0,18.1
2021,04.09(금),KT5vs7삼성,1,235.1
2021,04.16(금),삼성3vs9롯데,0,79.8
2021,04.20(화),SSG10vs7삼성,0,79.8
2021,04.23(금),삼성1vs4KIA,0,178.9
2021,04.27(화),NC0vs9삼성,1,178.9
2021,05.04(화),삼성vs한화,-1,124.5
2021,05.07(금),롯데1vs4삼성,1,124.5
2021,05.11(화),삼성6vs9KT,0,220.7
2021,05.14(금),삼성3vs4LG,0,24.4
2021,05.18(화),키움15vs3삼성,0,235.1
2021,05.25(화),삼성vsNC,-1,69.4
2021,05.28(금),두산9vs4삼성,0,69.4
2021,06.01(화),삼성0vs1SSG,0,251.2
2021,06.04(금),삼성6vs3키움,1,16.9
2021,06.08(화),KIA0vs7삼성,1,245.5
2021,06.15(화),삼성8vs6두산,1,235.1
2021,06.18(금),삼성4vs7롯데,0,313.6
2021,06.22(화),한화0vs9삼성,1,79.8
2021,06.29(화),삼성3vs10SSG,0,251.2
2021,07.02(금),삼성5vs2NC,1,299.1
2021,07.06(화),KTvs삼성,-1,69.4
2021,07.13(화),삼성vsKIA,-1,178.9
2021,07.16(금),키움vs삼성,-1,178.9
2021,08.13(금),삼성6vs7KT,0,220.7
2021,08.17(화),삼성2vs4한화,0,115.4
2021,08.20(금),SSG2vs3삼성,1,124.5
2021,08.25(수),삼성3vs3LG,-1,235.1
2021,08.28(토),삼성6vs5KT,1,24.4
2021,08.31(화),키움2vs3삼성,1,220.7
2021,09.02(목),삼성5vs1KIA,1,178.9
2021,09.04(토),두산4vs11삼성,1,178.9
2021,09.11(토),삼성5vs4한화,1,124.5
2021,09.14(화),LG3vs3삼성,-1,124.5
2021,09.18(토),삼성9vs4SSG,1,251.2
2021,09.21(화),삼성11vs9롯데,1,327.8
2021,09.23(목),삼성7vs4LG,1,313.6
2021,09.25(토),NC0vs1삼성,1,235.1
2021,10.02(토),삼성0vs6두산,0,235.1
2021,10.05(화),삼성2vs8키움,0,18.1
2021,10.07(목),삼성5vs4NC,1,296.4
2021,10.12(화),삼성2vs1KIA,1,154.3
2021,10.15(금),키움2vs0삼성,0,178.9
2021,10.27(수),삼성3vs8키움,0,245.5
2021,10.29(금),삼성1vs3NC,0,296.4
2021,10.31(일),KT1vs0삼성,0,
