승패여부,거리
1,0.0
1,136.8
0,136.8
1,178.9
0,124.5
1,115.4
0,298.1
0,193.3
1,140.8
1,140.8
1,136.8
0,18.1
0,140.7
0,160.3
1,160.3
-1,136.8
0,136.8
1,140.8
1,32.2
1,115.4
0,124.5
1,124.5
0,140.7
-1,18.1
0,136.8
0,136.8
-1,313.6
1,193.3
0,160.3
1,160.3
0,136.8
-1,136.8
1,140.7
-1,140.7
0,160.3
1,160.3
1,115.4
-1,115.4
0,140.8
1,140.8
0,193.3
1,193.3
1,136.8
1,136.8
1,124.5
1,124.5
1,136.8
0,136.8
1,136.8
0,197.7
0,
-1,0.0
1,115.4
1,136.8
0,136.8
-1,136.8
0,197.7
1,193.3
1,124.5
1,245.5
0,140.7
1,136.8
1,136.8
0,140.8
1,140.8
1,193.3
0,313.6
1,136.8
1,140.7
0,140.7
1,160.3
0,160.3
0,136.8
0,253.2
1,140.8
1,115.4
1,220.7
1,124.5
1,136.8
0,136.8
0,136.8
0,136.8
0,193.3
0,79.8
1,124.5
1,115.4
0,24.4
1,235.1
0,124.5
0,160.3
1,299.1
0,140.8
0,136.8
1,136.8
0,193.3
1,298.1
0,237.6
1,
0,0.0
-1,193.3
0,140.7
0,25.8
1,115.4
-1,160.3
1,160.3
0,140.8
1,34.5
1,136.8
0,124.5
1,235.1
1,136.8
0,140.8
0,327.8
1,193.3
0,140.7
0,140.7
1,160.3
0,160.3
0,136.8
0,136.8
0,136.8
0,136.8
0,124.5
0,220.7
0,115.4
0,136.8
0,261.4
0,237.6
0,115.4
0,193.3
1,323.2
0,140.7
0,140.8
0,140.8
-1,136.8
0,136.8
1,160.3
1,160.3
-1,124.5
1,124.5
1,124.5
1,124.5
1,136.8
1,288.6
0,288.6
0,
1,0.0
0,16.9
0,140.7
0,115.4
1,271.0
0,160.3
0,140.8
0,140.8
0,193.3
0,193.3
0,160.3
0,69.4
1,124.5
-1,136.8
0,261.4
1,136.8
0,115.4
0,24.4
0,136.8
-1,124.5
1,235.1
-1,136.8
1,140.7
0,140.7
0,140.8
0,140.8
-1,136.8
0,288.6
1,160.3
0,193.3
0,313.6
0,136.8
1,124.5
0,124.5
0,115.4
1,115.4
0,140.7
0,259.4
1,136.8
0,193.3
1,197.7
1,136.8
0,136.8
0,136.8
0,136.8
0,
-1,0.0
0,32.2
1,140.8
0,124.5
0,69.4
1,160.3
0,136.8
1,197.7
-1,193.3
-1,136.8
0,136.8
1,140.7
0,140.7
-1,136.8
0,136.8
0,160.3
1,160.3
0,115.4
1,115.4
0,124.5
0,124.5
1,136.8
-1,136.8
1,140.8
-1,327.8
-1,193.3
0,136.8
0,136.8
0,136.8
1,18.1
1,140.7
-1,193.3
1,193.3
0,160.3
0,288.6
0,136.8
1,140.8
-1,16.9
1,140.7
0,115.4
1,24.4
-1,136.8
0,124.5
-1,178.9
1,136.8
0,115.4
1,237.6
0,197.7
0,
