승패여부,거리
1,0.0
1,178.9
0,261.4
1,261.4
1,237.6
0,24.4
1,261.4
1,259.4
1,323.2
1,197.7
0,253.2
1,253.2
1,136.8
0,136.8
1,154.3
0,69.4
-1,178.9
1,197.7
0,197.7
0,154.3
1,154.3
1,261.4
1,34.5
-1,32.2
1,237.6
1,259.4
0,259.4
-1,261.4
0,261.4
0,136.8
0,136.8
-1,237.6
1,237.6
0,261.4
0,261.4
-1,136.8
1,160.3
1,69.4
1,178.9
1,259.4
0,18.1
0,261.4
1,253.2
1,327.8
1,197.7
1,136.8
0,
0,0.0
0,34.5
1,253.2
0,136.8
0,136.8
0,261.4
-1,261.4
1,237.6
0,298.1
0,197.7
0,178.9
1,245.5
1,259.4
1,154.3
0,154.3
1,237.6
0,298.1
1,197.7
0,261.4
-1,261.4
1,259.4
-1,16.9
1,34.5
1,261.4
0,154.3
1,154.3
0,136.8
0,124.5
1,178.9
0,259.4
0,259.4
1,253.2
1,253.2
0,197.7
1,313.6
1,261.4
0,154.3
-1,43.7
1,197.7
1,178.9
1,178.9
1,136.8
1,115.4
0,24.4
1,261.4
0,178.9
1,251.2
0,34.5
0,313.6
1,
1,0.0
1,178.9
-1,253.2
0,327.8
0,197.7
0,261.4
0,18.1
1,259.4
1,154.3
0,288.6
0,261.4
1,136.8
1,136.8
0,136.8
1,136.8
0,154.3
1,154.3
-1,197.7
1,197.7
0,261.4
0,18.1
0,25.8
1,237.6
0,178.9
1,178.9
-1,261.4
1,34.5
1,253.2
1,178.9
0,178.9
0,261.4
-1,18.1
0,16.9
0,253.2
0,154.3
1,154.3
1,136.8
-1,115.4
0,237.6
0,197.7
0,313.6
1,261.4
0,178.9
0,235.1
0,24.4
1,237.6
1,197.7
1,
0,0.0
1,124.5
0,136.8
1,253.2
1,32.2
0,237.6
0,261.4
1,24.4
1,32.2
1,253.2
0,197.7
1,323.2
-1,259.4
1,154.3
0,154.3
0,178.9
1,178.9
1,136.8
-1,136.8
1,197.7
0,197.7
1,261.4
1,261.4
0,261.4
0,261.4
0,259.4
0,18.1
0,34.5
-1,253.2
1,197.7
1,193.3
1,136.8
1,154.3
0,154.3
1,178.9
1,178.9
1,237.6
0,237.6
1,259.4
0,18.1
0,261.4
1,154.3
0,288.6
0,261.4
1,136.8
0,136.8
0,197.7
1,
-1,0.0
1,18.1
0,259.4
1,253.2
1,34.5
1,261.4
0,237.6
-1,298.1
-1,197.7
0,154.3
0,154.3
0,178.9
-1,178.9
0,136.8
1,136.8
0,178.9
-1,79.8
-1,197.7
0,261.4
0,24.4
0,25.8
0,259.4
-1,136.8
1,136.8
-1,154.3
1,154.3
1,253.2
-1,34.5
1,261.4
0,253.2
-1,34.5
0,261.4
0,136.8
-1,115.4
0,25.8
1,259.4
1,178.9
1,235.1
0,261.4
0,154.3
0,154.3
0,197.7
0,197.7
1,136.8
0,136.8
-1,237.6
1,24.4
1,261.4
1,154.3
1,43.7
0,
