승패여부,거리
1,0.0
0,32.2
0,25.8
0,18.1
0,24.4
0,271.0
0,271.0
0,115.4
0,136.8
0,237.6
0,298.1
0,298.1
1,220.7
1,235.1
0,24.4
1,298.1
-1,298.1
0,271.0
0,69.4
0,220.7
0,32.2
0,140.8
0,115.4
0,24.4
-1,24.4
0,24.4
0,18.1
0,25.8
1,237.6
0,237.6
0,298.1
-1,298.1
0,32.2
-1,34.5
0,24.4
0,271.0
0,69.4
0,220.7
0,115.4
0,115.4
1,24.4
1,24.4
1,25.8
1,25.8
0,237.6
1,261.4
0,24.4
0,237.6
0,261.4
1,
1,0.0
-1,25.8
1,271.0
0,288.6
0,24.4
1,220.7
0,220.7
0,24.4
0,24.4
0,298.1
1,193.3
0,115.4
0,237.6
1,237.6
1,220.7
0,251.2
0,32.2
0,24.4
0,288.6
0,271.0
-1,24.4
1,24.4
0,298.1
1,298.1
0,237.6
1,259.4
1,25.8
1,115.4
0,115.4
1,271.0
0,271.0
0,115.4
1,115.4
1,25.8
0,16.9
0,34.5
0,24.4
0,298.1
1,313.6
0,24.4
0,220.7
0,220.7
0,24.4
1,24.4
1,298.1
0,298.1
1,
0,0.0
0,25.8
0,245.5
1,220.7
1,298.1
0,298.1
0,24.4
1,136.8
1,115.4
1,237.6
0,237.6
0,237.6
0,253.2
1,32.2
0,24.4
1,24.4
0,220.7
0,245.5
1,25.8
-1,298.1
1,298.1
1,115.4
0,115.4
0,271.0
1,288.6
-1,24.4
1,25.8
1,16.9
0,34.5
1,24.4
0,298.1
-1,298.1
1,237.6
1,237.6
0,24.4
0,288.6
1,271.0
1,115.4
0,115.4
0,220.7
0,220.7
1,32.2
0,32.2
1,298.1
0,
1,0.0
0,288.6
1,271.0
0,24.4
0,24.4
0,25.8
0,25.8
0,298.1
0,298.1
-1,220.7
1,251.2
1,32.2
0,115.4
0,136.8
1,24.4
1,237.6
1,237.6
-1,271.0
1,271.0
-1,237.6
1,237.6
1,25.8
-1,140.7
1,115.4
1,24.4
1,235.1
1,124.5
-1,115.4
0,24.4
-1,261.4
1,237.6
1,25.8
0,18.1
0,288.6
1,271.0
1,32.2
0,327.8
0,298.1
1,220.7
1,220.7
0,298.1
0,298.1
0,32.2
0,32.2
1,24.4
1,24.4
1,237.6
1,
-1,0.0
0,220.7
1,235.1
1,24.4
1,271.0
0,271.0
1,32.2
1,32.2
-1,25.8
-1,25.8
1,298.1
1,298.1
0,115.4
-1,115.4
0,237.6
1,261.4
0,24.4
1,32.2
1,32.2
-1,271.0
0,271.0
1,115.4
-1,136.8
1,24.4
-1,220.7
0,178.9
-1,237.6
-1,24.4
0,18.1
1,25.8
1,298.1
1,298.1
0,115.4
0,140.7
1,18.1
-1,24.4
0,220.7
-1,220.7
1,24.4
1,24.4
1,271.0
1,154.3
1,237.6
0,298.1
-1,327.8
-1,32.2
0,24.4
-1,24.4
0,271.0
0,154.3
0,178.9
1,220.7
0,25.8
1,16.9
1,
