승패여부,거리
1,0.0
1,18.1
1,313.6
0,43.7
1,288.6
0,136.8
1,136.8
1,24.4
0,24.4
-1,235.1
0,235.1
0,261.4
0,261.4
0,34.5
0,34.5
-1,24.4
1,24.4
1,261.4
1,261.4
0,18.1
0,323.2
0,313.6
-1,288.6
-1,288.6
0,34.5
1,34.5
1,235.1
0,235.1
0,136.8
1,136.8
1,235.1
0,235.1
0,261.4
-1,261.4
0,34.5
1,34.5
0,313.6
0,313.6
0,136.8
0,136.8
0,288.6
1,288.6
-1,18.1
1,18.1
0,24.4
0,24.4
0,235.1
1,69.4
0,154.3
1,237.6
0,24.4
0,
1,0.0
1,313.6
0,313.6
0,261.4
1,154.3
1,288.6
0,136.8
0,136.8
1,34.5
0,251.2
0,235.1
0,24.4
1,298.1
1,313.6
1,235.1
0,69.4
1,288.6
1,136.8
1,136.8
0,34.5
0,34.5
0,261.4
0,261.4
1,18.1
0,18.1
0,24.4
0,24.4
0,313.6
0,313.6
0,18.1
0,259.4
1,253.2
0,32.2
1,24.4
1,235.1
1,124.5
0,136.8
0,34.5
1,34.5
1,
0,0.0
1,115.4
-1,24.4
1,288.6
0,288.6
-1,235.1
1,235.1
1,18.1
0,18.1
0,313.6
0,313.6
0,313.6
0,323.2
1,18.1
0,136.8
-1,136.8
0,235.1
1,235.1
1,288.6
1,288.6
0,261.4
0,261.4
0,34.5
-1,32.2
0,24.4
1,261.4
0,154.3
0,288.6
0,235.1
1,235.1
1,313.6
-1,313.6
1,34.5
1,32.2
-1,24.4
1,136.8
0,140.7
1,18.1
1,24.4
1,220.7
0,69.4
1,288.6
1,24.4
0,24.4
0,261.4
0,
0,0.0
1,288.6
1,235.1
1,235.1
1,136.8
1,136.8
0,261.4
0,18.1
0,18.1
1,136.8
0,136.8
0,34.5
1,34.5
0,235.1
0,235.1
0,313.6
1,313.6
0,24.4
1,24.4
1,34.5
0,34.5
1,261.4
1,259.4
0,18.1
1,288.6
1,288.6
0,18.1
-1,18.1
0,235.1
1,235.1
1,34.5
1,34.5
-1,313.6
0,197.7
1,261.4
0,136.8
1,136.8
0,288.6
1,271.0
0,24.4
0,24.4
0,24.4
0,313.6
1,313.6
1,24.4
1,237.6
-1,154.3
0,288.6
0,
-1,0.0
1,271.0
1,24.4
0,18.1
1,18.1
1,136.8
1,136.8
0,235.1
-1,235.1
0,261.4
1,261.4
0,34.5
-1,327.8
1,313.6
0,261.4
1,261.4
1,18.1
1,18.1
1,34.5
-1,251.2
-1,235.1
-1,313.6
-1,313.6
-1,136.8
1,136.8
-1,24.4
0,271.0
-1,288.6
1,313.6
1,313.6
-1,34.5
1,34.5
-1,235.1
0,69.4
0,288.6
0,136.8
0,136.8
-1,24.4
1,24.4
1,18.1
0,18.1
1,261.4
1,261.4
-1,34.5
-1,327.8
0,43.7
0,288.6
1,136.8
1,
