year,date,경기,승패여부,거리
2021,04.03(토),롯데vsSSG,-1,0.0
2021,04.06(화),롯데10vs5NC,0,299.1
2021,04.09(금),키움7vs2롯데,0,43.7
2021,04.13(화),롯데8vs0KIA,0,197.7
2021,04.16(금),삼성3vs9롯데,0,197.7
2021,04.23(금),롯데10vs5KT,0,298.1
2021,04.27(화),롯데0vs4LG,0,24.4
2021,04.30(금),한화11vs7롯데,0,313.6
2021,05.07(금),롯데1vs4삼성,0,79.8
2021,05.11(화),SSG7vs6롯데,0,79.8
2021,05.18(화),롯데4vs3한화,0,193.3
2021,05.21(금),롯데9vs1두산,0,136.8
2021,05.25(화),LGvs롯데,-1,313.6
2021,06.01(화),롯데3vs0키움,0,323.2
2021,06.04(금),롯데15vs0KT,0,25.8
2021,06.08(화),두산9vs18롯데,0,298.1
2021,06.15(화),롯데2vs3한화,0,193.3
2021,06.18(금),삼성4vs7롯데,0,193.3
2021,06.25(금),롯데9vs1두산,0,313.6
2021,06.29(화),롯데13vs5키움,0,18.1
2021,07.02(금),롯데6vs5SSG,0,16.9
2021,07.06(화),LGvs롯데,-1,327.8
2021,07.09(금),롯데9vs5삼성,0,79.8
2021,07.13(화),한화vs롯데,-1,79.8
2021,08.10(화),롯데5vs2NC,0,43.7
2021,08.13(금),롯데2vs0LG,0,288.6
2021,08.17(화),키움0vs1롯데,0,313.6
2021,08.25(수),롯데6vs11KIA,0,197.7
2021,08.28(토),두산10vs10롯데,-1,197.7
2021,09.04(토),롯데8vs2NC,0,43.7
2021,09.07(화),롯데4vs2삼성,0,69.4
2021,09.09(목),SSG9vs2롯데,0,79.8
2021,09.14(화),롯데8vs7KIA,0,197.7
2021,09.16(목),롯데4vs7KT,0,237.6
2021,09.18(토),롯데2vs13한화,0,115.4
2021,09.21(화),삼성11vs9롯데,0,193.3
2021,09.23(목),롯데8vs9SSG,0,327.8
2021,09.25(토),롯데12vs6키움,0,16.9
2021,09.28(화),롯데2vs5LG,0,18.1
2021,09.30(목),KT4vs8롯데,0,313.6
2021,10.07(목),롯데7vs2두산,0,313.6
2021,10.09(토),롯데0vs2SSG,0,34.5
2021,10.13(수),LG4vs4롯데,-1,327.8
2021,10.25(월),롯데4vs4LG,-1,313.6
2021,10.27(수),KIA3vs2롯데,0,
