승패여부,거리
0,0.0
0,160.3
1,140.8
1,299.1
1,43.7
-1,79.8
1,69.4
0,154.3
1,261.4
1,288.6
1,271.0
1,24.4
0,288.6
1,296.4
1,296.4
1,288.6
0,288.6
1,296.4
1,18.1
0,34.5
1,299.1
0,43.7
-1,43.7
0,154.3
1,136.8
1,160.3
0,69.4
1,220.7
1,271.0
0,299.1
1,299.1
0,288.6
0,261.4
1,154.3
0,296.4
1,18.1
1,288.6
1,271.0
0,298.1
1,43.7
0,69.4
1,69.4
0,160.3
0,160.3
1,69.4
1,69.4
-1,
0,0.0
1,43.7
-1,288.6
0,288.6
0,299.1
1,16.9
0,296.4
0,69.4
0,69.4
1,154.3
1,154.3
1,160.3
0,160.3
1,271.0
0,24.4
0,288.6
0,160.3
0,160.3
0,288.6
1,288.6
-1,154.3
0,154.3
0,271.0
1,24.4
0,18.1
1,296.4
0,299.1
1,299.1
1,43.7
1,43.7
-1,69.4
1,124.5
0,160.3
1,69.4
0,220.7
0,271.0
0,288.6
1,288.6
1,288.6
1,288.6
0,154.3
0,154.3
0,43.7
0,327.8
0,16.9
1,259.4
1,154.3
0,288.6
0,
0,0.0
1,288.6
-1,261.4
1,154.3
1,299.1
1,32.2
-1,271.0
0,43.7
0,43.7
0,69.4
1,69.4
1,288.6
1,18.1
0,296.4
0,288.6
0,235.1
1,69.4
0,299.1
0,34.5
0,24.4
0,271.0
0,154.3
1,154.3
0,43.7
1,43.7
1,160.3
0,140.7
0,296.4
0,154.3
-1,154.3
1,160.3
0,140.7
1,296.4
1,288.6
1,313.6
1,43.7
0,299.1
0,299.1
1,69.4
-1,235.1
1,24.4
1,271.0
0,154.3
1,253.2
1,299.1
-1,43.7
-1,43.7
1,288.6
0,24.4
0,
1,0.0
1,69.4
1,299.1
1,34.5
0,288.6
0,69.4
0,69.4
1,160.3
1,160.3
0,154.3
1,154.3
1,271.0
1,24.4
0,288.6
1,299.1
1,34.5
0,18.1
-1,296.4
1,271.0
0,298.1
1,43.7
-1,160.3
-1,136.8
-1,197.7
0,43.7
1,154.3
-1,237.6
1,271.0
1,296.4
0,18.1
-1,235.1
1,69.4
0,288.6
1,34.5
0,327.8
1,43.7
1,160.3
1,160.3
0,296.4
0,18.1
0,288.6
1,154.3
0,136.8
-1,160.3
1,43.7
-1,79.8
0,
-1,0.0
1,154.3
1,253.2
1,299.1
0,288.6
0,235.1
0,69.4
-1,271.0
1,115.4
1,160.3
0,288.6
0,18.1
-1,296.4
-1,43.7
0,43.7
0,288.6
1,235.1
-1,69.4
1,43.7
1,43.7
1,154.3
0,154.3
1,288.6
-1,18.1
-1,25.8
-1,271.0
1,160.3
-1,140.8
1,299.1
0,160.3
-1,140.8
0,34.5
0,288.6
0,154.3
1,154.3
0,288.6
0,18.1
0,245.5
1,69.4
-1,43.7
-1,298.1
0,271.0
0,296.4
1,18.1
1,288.6
-1,299.1
0,299.1
1,271.0
1,
