승패여부,거리
0,0.0
0,253.2
0,253.2
1,140.8
1,140.8
1,34.5
1,235.1
0,251.2
0,16.9
-1,18.1
1,34.5
1,299.1
0,43.7
1,327.8
1,32.2
0,115.4
1,140.8
0,34.5
0,34.5
1,251.2
1,251.2
1,34.5
1,34.5
1,327.8
1,327.8
0,299.1
0,154.3
1,253.2
0,16.9
1,25.8
1,32.2
1,34.5
1,34.5
-1,140.8
1,140.8
1,253.2
0,253.2
1,251.2
1,251.2
0,16.9
1,16.9
1,32.2
1,32.2
0,299.1
1,299.1
1,34.5
0,313.6
1,197.7
0,253.2
1,140.8
1,
1,0.0
1,140.8
1,34.5
1,34.5
1,32.2
0,298.1
0,327.8
1,16.9
1,245.5
1,251.2
0,299.1
0,299.1
0,34.5
0,261.4
0,253.2
-1,34.5
1,34.5
0,140.8
0,136.8
0,253.2
-1,251.2
1,220.7
-1,32.2
1,16.9
1,16.9
1,34.5
1,34.5
1,327.8
1,327.8
0,299.1
0,299.1
1,34.5
0,34.5
0,299.1
0,299.1
0,34.5
0,34.5
0,327.8
0,327.8
1,140.8
0,136.8
0,237.6
0,32.2
0,16.9
1,16.9
0,251.2
0,251.2
1,34.5
0,
-1,0.0
-1,140.8
0,34.5
0,34.5
-1,251.2
1,220.7
0,32.2
1,327.8
1,327.8
1,253.2
0,154.3
0,299.1
1,34.5
1,288.6
1,299.1
1,16.9
1,16.9
1,32.2
1,32.2
0,253.2
1,253.2
1,34.5
0,235.1
1,251.2
1,34.5
0,136.8
0,140.8
1,327.8
0,327.8
1,140.8
0,140.8
1,16.9
1,18.1
1,34.5
1,253.2
0,154.3
1,299.1
0,34.5
0,235.1
0,251.2
-1,32.2
-1,32.2
1,327.8
1,327.8
-1,140.8
0,115.4
1,32.2
1,251.2
1,
0,0.0
0,327.8
0,313.6
0,34.5
0,16.9
0,16.9
0,34.5
1,34.5
1,299.1
1,299.1
1,34.5
0,34.5
0,16.9
0,16.9
0,251.2
1,79.8
0,327.8
0,140.8
1,136.8
1,34.5
1,140.8
0,140.8
0,32.2
0,32.2
0,32.2
0,237.6
1,253.2
1,327.8
1,327.8
0,299.1
0,299.1
0,32.2
0,24.4
0,34.5
1,140.8
1,140.8
1,253.2
0,253.2
0,34.5
0,18.1
0,245.5
0,69.4
0,299.1
0,253.2
1,178.9
1,251.2
0,327.8
1,
0,0.0
0,34.5
1,251.2
1,245.5
0,16.9
0,34.5
-1,288.6
-1,299.1
1,327.8
0,327.8
1,253.2
1,253.2
-1,32.2
1,115.4
1,140.8
0,34.5
0,34.5
-1,253.2
0,136.8
0,140.8
0,299.1
1,299.1
0,16.9
0,16.9
-1,327.8
0,313.6
0,34.5
0,251.2
0,220.7
1,32.2
0,16.9
-1,16.9
1,327.8
-1,298.1
0,32.2
-1,34.5
0,34.5
0,253.2
1,178.9
0,69.4
-1,299.1
1,34.5
0,136.8
1,140.8
1,327.8
0,197.7
-1,253.2
-1,251.2
1,69.4
0,
