승패여부,거리
0,0.0
0,235.1
0,24.4
0,220.7
0,79.8
-1,313.6
-1,235.1
0,178.9
0,178.9
0,69.4
-1,69.4
1,251.2
1,140.8
0,124.5
0,245.5
0,245.5
1,235.1
1,136.8
1,124.5
0,235.1
1,235.1
0,178.9
0,253.2
1,251.2
1,220.7
0,298.1
0,79.8
1,245.5
0,245.5
1,69.4
0,69.4
-1,124.5
1,124.5
1,220.7
0,24.4
0,18.1
0,245.5
0,251.2
1,34.5
1,235.1
1,79.8
0,197.7
0,178.9
-1,69.4
0,69.4
0,124.5
0,124.5
0,235.1
1,
0,0.0
-1,299.1
0,251.2
1,124.5
1,193.3
0,79.8
0,235.1
0,235.1
1,220.7
1,220.7
1,245.5
1,245.5
1,235.1
0,235.1
1,69.4
0,299.1
0,251.2
1,79.8
0,323.2
-1,245.5
1,124.5
0,124.5
-1,220.7
0,24.4
1,235.1
0,178.9
0,178.9
1,235.1
1,235.1
0,79.8
1,327.8
1,34.5
0,235.1
1,69.4
0,69.4
0,178.9
0,178.9
1,220.7
0,220.7
0,245.5
0,245.5
1,124.5
1,124.5
0,220.7
1,32.2
1,
0,0.0
-1,34.5
1,235.1
0,124.5
-1,124.5
0,178.9
0,259.4
1,245.5
1,235.1
1,24.4
1,220.7
0,235.1
0,313.6
1,79.8
0,251.2
0,253.2
1,178.9
1,124.5
1,124.5
0,220.7
0,271.0
1,69.4
1,235.1
0,18.1
1,245.5
0,235.1
-1,288.6
0,69.4
0,251.2
-1,32.2
1,220.7
1,124.5
0,124.5
1,178.9
1,178.9
0,235.1
1,313.6
1,323.2
0,245.5
0,69.4
0,69.4
0,124.5
1,115.4
1,24.4
0,34.5
0,251.2
0,
0,0.0
0,245.5
0,25.8
0,220.7
0,79.8
1,79.8
1,235.1
0,34.5
0,251.2
1,235.1
0,261.4
1,178.9
1,79.8
1,79.8
1,245.5
0,25.8
1,220.7
0,69.4
-1,154.3
-1,178.9
1,235.1
1,34.5
0,251.2
1,124.5
0,124.5
1,251.2
0,251.2
0,124.5
1,140.7
0,259.4
1,178.9
0,79.8
1,313.6
1,24.4
0,220.7
0,69.4
0,288.6
1,235.1
1,69.4
1,288.6
1,235.1
1,124.5
1,140.8
0,32.2
1,237.6
1,154.3
-1,
0,0.0
0,18.1
1,235.1
0,79.8
0,79.8
0,178.9
1,178.9
-1,124.5
1,124.5
0,220.7
0,24.4
0,235.1
-1,69.4
0,69.4
0,251.2
1,16.9
1,245.5
1,235.1
0,313.6
1,79.8
0,251.2
1,299.1
-1,69.4
-1,178.9
-1,178.9
0,220.7
0,115.4
1,124.5
-1,235.1
1,24.4
1,220.7
1,178.9
1,178.9
1,124.5
-1,124.5
1,251.2
1,327.8
1,313.6
1,235.1
0,235.1
0,18.1
1,296.4
1,154.3
0,178.9
0,245.5
0,296.4
0,
