승패여부,거리
0,0.0
0,323.2
1,313.6
1,18.1
0,259.4
0,253.2
1,16.9
1,140.7
0,140.7
-1,296.4
0,69.4
1,245.5
1,25.8
0,25.8
1,18.1
0,18.1
0,16.9
1,253.2
0,259.4
0,140.7
1,140.7
0,296.4
1,271.0
1,25.8
1,245.5
1,235.1
0,18.1
1,18.1
0,18.1
0,323.2
1,197.7
0,259.4
-1,245.5
0,245.5
0,18.1
0,313.6
1,323.2
1,18.1
0,18.1
0,25.8
-1,25.8
0,16.9
0,16.9
0,140.7
0,160.3
1,271.0
0,298.1
0,43.7
0,
0,0.0
0,259.4
0,197.7
0,323.2
0,140.7
0,136.8
0,18.1
0,296.4
0,271.0
0,25.8
0,18.1
0,18.1
0,16.9
0,16.9
0,259.4
0,261.4
0,18.1
0,25.8
0,25.8
0,18.1
0,18.1
0,323.2
0,79.8
0,245.5
0,140.7
0,140.7
0,296.4
0,296.4
0,16.9
0,32.2
0,25.8
0,140.7
0,140.7
0,245.5
0,235.1
0,34.5
0,253.2
0,259.4
0,18.1
-1,288.6
0,43.7
0,323.2
0,18.1
0,18.1
0,296.4
0,271.0
0,
1,0.0
0,154.3
1,259.4
1,245.5
1,235.1
0,18.1
1,16.9
1,16.9
0,25.8
0,115.4
1,140.7
1,245.5
1,245.5
0,259.4
0,259.4
0,18.1
1,288.6
1,296.4
1,323.2
1,323.2
1,140.7
1,140.7
1,25.8
1,32.2
1,16.9
1,18.1
0,18.1
-1,323.2
0,323.2
0,18.1
1,18.1
0,25.8
-1,25.8
0,245.5
1,124.5
1,140.7
1,296.4
1,288.6
0,18.1
1,259.4
-1,253.2
1,16.9
0,25.8
1,24.4
0,136.8
1,140.8
0,253.2
-1,
1,0.0
1,259.4
-1,18.1
1,18.1
0,323.2
0,43.7
1,296.4
1,140.7
1,140.7
1,245.5
1,69.4
0,296.4
1,18.1
0,18.1
0,25.8
0,25.8
0,259.4
1,259.4
0,16.9
0,34.5
0,18.1
1,18.1
1,235.1
0,245.5
0,323.2
0,43.7
1,296.4
1,25.8
1,298.1
0,323.2
1,140.7
0,140.7
1,16.9
0,34.5
1,18.1
1,245.5
1,178.9
1,259.4
0,18.1
0,18.1
1,16.9
1,16.9
0,140.7
0,115.4
1,25.8
1,
1,0.0
1,323.2
1,323.2
0,25.8
0,115.4
0,140.7
1,296.4
-1,296.4
-1,16.9
0,34.5
0,18.1
1,245.5
1,245.5
-1,259.4
0,261.4
0,18.1
0,140.7
0,140.8
0,16.9
0,296.4
0,288.6
1,18.1
0,25.8
1,25.8
-1,18.1
-1,235.1
1,245.5
0,323.2
0,197.7
0,259.4
0,18.1
0,235.1
1,245.5
-1,18.1
1,18.1
1,323.2
0,43.7
-1,296.4
0,16.9
1,16.9
-1,140.7
1,136.8
0,259.4
0,25.8
1,25.8
1,245.5
1,235.1
0,24.4
1,115.4
0,136.8
1,18.1
1,
