승패여부,거리
1,0.0
0,32.2
0,25.8
0,18.1
0,24.4
0,271.0
0,271.0
0,115.4
0,136.8
0,237.6
0,298.1
0,298.1
1,220.7
1,235.1
0,24.4
1,298.1
-1,298.1
0,271.0
0,69.4
0,220.7
0,32.2
0,140.8
0,115.4
0,24.4
-1,24.4
0,24.4
0,18.1
0,25.8
1,237.6
0,237.6
0,298.1
-1,298.1
0,32.2
-1,34.5
0,24.4
0,271.0
0,69.4
0,220.7
0,115.4
0,115.4
1,24.4
1,24.4
1,25.8
1,25.8
0,237.6
1,261.4
0,24.4
0,237.6
0,261.4
1,
0,0.0
0,323.2
1,313.6
1,18.1
0,259.4
0,253.2
1,16.9
1,140.7
0,140.7
-1,296.4
0,69.4
1,245.5
1,25.8
0,25.8
1,18.1
0,18.1
0,16.9
1,253.2
0,259.4
0,140.7
1,140.7
0,296.4
1,271.0
1,25.8
1,245.5
1,235.1
0,18.1
1,18.1
0,18.1
0,323.2
1,197.7
0,259.4
-1,245.5
0,245.5
0,18.1
0,313.6
1,323.2
1,18.1
0,18.1
0,25.8
-1,25.8
0,16.9
0,16.9
0,140.7
0,160.3
1,271.0
0,298.1
0,43.7
0,
1,0.0
1,178.9
0,261.4
1,261.4
1,237.6
0,24.4
1,261.4
1,259.4
1,323.2
1,197.7
0,253.2
1,253.2
1,136.8
0,136.8
1,154.3
0,69.4
-1,178.9
1,197.7
0,197.7
0,154.3
1,154.3
1,261.4
1,34.5
-1,32.2
1,237.6
1,259.4
0,259.4
-1,261.4
0,261.4
0,136.8
0,136.8
-1,237.6
1,237.6
0,261.4
0,261.4
-1,136.8
1,160.3
1,69.4
1,178.9
1,259.4
0,18.1
0,261.4
1,253.2
1,327.8
1,197.7
1,136.8
0,
1,0.0
1,43.7
1,327.8
1,327.8
0,323.2
1,323.2
0,313.6
1,24.4
0,298.1
-1,193.3
-1,193.3
1,313.6
1,313.6
1,197.7
1,178.9
0,79.8
1,43.7
0,43.7
0,323.2
1,25.8
0,24.4
1,313.6
0,79.8
0,79.8
1,193.3
1,193.3
1,197.7
-1,197.7
0,327.8
0,34.5
1,313.6
0,43.7
0,69.4
1,79.8
1,323.2
0,140.7
1,136.8
1,197.7
0,313.6
1,313.6
0,327.8
0,327.8
0,298.1
1,24.4
0,313.6
1,193.3
1,193.3
1,327.8
1,
0,0.0
0,235.1
0,24.4
0,220.7
0,79.8
-1,313.6
-1,235.1
0,178.9
0,178.9
0,69.4
-1,69.4
1,251.2
1,140.8
0,124.5
0,245.5
0,245.5
1,235.1
1,136.8
1,124.5
0,235.1
1,235.1
0,178.9
0,253.2
1,251.2
1,220.7
0,298.1
0,79.8
1,245.5
0,245.5
1,69.4
0,69.4
-1,124.5
1,124.5
1,220.7
0,24.4
0,18.1
0,245.5
0,251.2
1,34.5
1,235.1
1,79.8
0,197.7
0,178.9
-1,69.4
0,69.4
0,124.5
0,124.5
0,235.1
1,
1,0.0
1,136.8
0,136.8
1,178.9
0,124.5
1,115.4
0,298.1
0,193.3
1,140.8
1,140.8
1,136.8
0,18.1
0,140.7
0,160.3
1,160.3
-1,136.8
0,136.8
1,140.8
1,32.2
1,115.4
0,124.5
1,124.5
0,140.7
-1,18.1
0,136.8
0,136.8
-1,313.6
1,193.3
0,160.3
1,160.3
0,136.8
-1,136.8
1,140.7
-1,140.7
0,160.3
1,160.3
1,115.4
-1,115.4
0,140.8
1,140.8
0,193.3
1,193.3
1,136.8
1,136.8
1,124.5
1,124.5
1,136.8
0,136.8
1,136.8
0,197.7
0,
0,0.0
0,160.3
1,140.8
1,299.1
1,43.7
-1,79.8
1,69.4
0,154.3
1,261.4
1,288.6
1,271.0
1,24.4
0,288.6
1,296.4
1,296.4
1,288.6
0,288.6
1,296.4
1,18.1
0,34.5
1,299.1
0,43.7
-1,43.7
0,154.3
1,136.8
1,160.3
0,69.4
1,220.7
1,271.0
0,299.1
1,299.1
0,288.6
0,261.4
1,154.3
0,296.4
1,18.1
1,288.6
1,271.0
0,298.1
1,43.7
0,69.4
1,69.4
0,160.3
0,160.3
1,69.4
1,69.4
-1,
0,0.0
0,253.2
0,253.2
1,140.8
1,140.8
1,34.5
1,235.1
0,251.2
0,16.9
-1,18.1
1,34.5
1,299.1
0,43.7
1,327.8
1,32.2
0,115.4
1,140.8
0,34.5
0,34.5
1,251.2
1,251.2
1,34.5
1,34.5
1,327.8
1,327.8
0,299.1
0,154.3
1,253.2
0,16.9
1,25.8
1,32.2
1,34.5
1,34.5
-1,140.8
1,140.8
1,253.2
0,253.2
1,251.2
1,251.2
0,16.9
1,16.9
1,32.2
1,32.2
0,299.1
1,299.1
1,34.5
0,313.6
1,197.7
0,253.2
1,140.8
1,
0,0.0
1,24.4
0,24.4
1,288.6
-1,288.6
0,34.5
0,16.9
1,18.1
0,235.1
0,235.1
-1,313.6
0,313.6
1,261.4
-1,261.4
0,136.8
1,140.7
0,18.1
1,313.6
1,313.6
-1,261.4
1,261.4
0,136.8
1,136.8
1,288.6
0,288.6
1,34.5
1,34.5
1,24.4
-1,24.4
1,235.1
1,235.1
1,18.1
