,year,date,score,place
0,2017,04.01(토),롯데3vs0NC,마산
1,2017,04.04(화),넥센2vs5롯데,사직
2,2017,04.11(화),롯데6vs4SK,문학
3,2017,04.14(금),삼성6vs9롯데,사직
4,2017,04.21(금),롯데1vs4넥센,고척
5,2017,04.25(화),한화2vs4롯데,사직
6,2017,04.28(금),롯데0vs2두산,잠실
7,2017,05.02(화),롯데9vs0KT,수원
8,2017,05.05(금),KIA5vs3롯데,사직
9,2017,05.09(화),롯데vs한화,대전
10,2017,05.12(금),두산vs롯데,사직
11,2017,05.19(금),롯데9vs4LG,잠실
12,2017,05.23(화),SK6vs7롯데,사직
13,2017,05.26(금),롯데8vs2KIA,광주
14,2017,05.30(화),롯데1vs0삼성,대구
15,2017,06.02(금),KT11vs8롯데,사직
16,2017,06.06(화),롯데5vs4NC,마산
17,2017,06.09(금),두산4vs0롯데,울산
18,2017,06.13(화),KIA10vs7롯데,사직
19,2017,06.16(금),롯데1vs2넥센,고척
20,2017,06.20(화),롯데10vs2KT,수원
21,2017,06.23(금),롯데1vs9두산,잠실
22,2017,06.27(화),LG10vs11롯데,사직
23,2017,07.04(화),롯데2vs4삼성,포항
24,2017,07.07(금),SK6vs5롯데,사직
25,2017,07.11(화),롯데5vs4한화,대전
26,2017,07.18(화),삼성2vs5롯데,울산
27,2017,07.21(금),롯데4vs3KIA,광주
28,2017,07.25(화),한화vs롯데,사직
29,2017,07.28(금),롯데7vs8SK,문학
30,2017,08.01(화),롯데0vs2LG,잠실
31,2017,08.04(금),넥센8vs10롯데,사직
32,2017,08.10(목),롯데2vs3NC,마산
33,2017,08.12(토),롯데7vs13삼성,대구
34,2017,08.15(화),두산6vs8롯데,사직
35,2017,08.17(목),롯데5vs3넥센,고척
36,2017,08.19(토),롯데0vs2한화,대전
37,2017,08.22(화),롯데7vs3KIA,광주
38,2017,08.24(목),LG0vs11롯데,사직
39,2017,08.29(화),롯데5vs7두산,잠실
40,2017,08.31(목),NC5vs8롯데,사직
41,2017,09.05(화),롯데2vs6SK,문학
42,2017,09.07(목),삼성6vs5롯데,사직
43,2017,09.09(토),롯데2vs3KT,수원
44,2017,09.12(화),롯데2vs1LG,잠실
45,2017,09.14(목),KIA11vs2롯데,사직
46,2017,09.22(금),롯데2vs0한화,대전
47,2017,09.23(토),넥센2vs7롯데,사직
48,2017,09.29(금),롯데7vs2SK,문학
49,2017,10.03(화),LG2vs4롯데,사직
50,2018,04.03(화),롯데11vs17한화,대전
51,2018,04.06(금),LG14vs6롯데,사직
52,2018,04.10(화),넥센3vs4롯데,울산
53,2018,04.13(금),롯데8vs4KIA,광주
54,2018,04.17(화),삼성11vs6롯데,사직
55,2018,04.24(화),롯데14vs8KT,수원
56,2018,04.27(금),한화3vs5롯데,사직
57,2018,05.04(금),롯데4vs5SK,문학
58,2018,05.08(화),롯데4vs2LG,잠실
59,2018,05.11(금),KT2vs6롯데,사직
60,2018,05.15(화),롯데5vs3NC,마산
61,2018,05.18(금),두산7vs1롯데,사직
62,2018,05.22(화),롯데4vs10삼성,대구
63,2018,05.25(금),롯데2vs13넥센,고척
64,2018,05.29(화),LG5vs3롯데,사직
65,2018,06.05(화),롯데12vs6NC,마산
66,2018,06.08(금),KIA6vs9롯데,사직
67,2018,06.15(금),롯데14vs6SK,문학
68,2018,06.19(화),롯데9vs7KT,수원
69,2018,06.22(금),롯데1vs2LG,잠실
70,2018,06.26(화),넥센9vs3롯데,사직
71,2018,06.29(금),롯데2vs5한화,대전
72,2018,07.03(화),두산vs롯데,사직
73,2018,07.10(화),롯데3vs6삼성,포항
74,2018,07.17(화),롯데12vs6두산,잠실
75,2018,07.20(금),SK6vs2롯데,사직
76,2018,07.27(금),롯데9vs2넥센,고척
77,2018,07.31(화),롯데1vs4KIA,광주
78,2018,08.04(토),삼성4vs5롯데,사직
79,2018,08.07(화),LG3vs4롯데,울산
80,2018,08.09(목),롯데11vs4KIA,광주
81,2018,08.11(토),롯데2vs5두산,잠실
82,2018,08.14(화),한화4vs9롯데,사직
83,2018,09.04(화),롯데4vs6한화,대전
84,2018,09.06(목),SK0vs10롯데,울산
85,2018,09.08(토),롯데1vs7NC,마산
86,2018,09.11(화),두산17vs4롯데,사직
87,2018,09.18(화),롯데4vs1LG,잠실
88,2018,09.20(목),KT10vs11롯데,사직
89,2018,09.22(토),롯데5vs2삼성,대구
90,2018,09.25(화),NC7vs8롯데,사직
91,2018,09.27(목),롯데8vs6넥센,고척
92,2018,09.29(토),롯데8vs3KT,수원
93,2018,10.02(화),롯데8vs6SK,문학
94,2018,10.03(수),롯데6vs7한화,대전
95,2018,10.05(금),두산vs롯데,사직
96,2018,10.07(일),롯데8vs2NC,마산
97,2018,10.09(화),KIA10vs11롯데,사직
98,2018,10.11(목),롯데4vs0KIA,광주
99,2018,10.14(일),두산5vs1롯데,사직
100,2019,04.02(화),롯데5vs0SK,문학
101,2019,04.05(금),한화2vs5롯데,사직
102,2019,04.12(금),롯데1vs2NC,창원
103,2019,04.16(화),KIA9vs10롯데,사직
104,2019,04.23(화),롯데vs한화,대전
105,2019,04.26(금),롯데8vs11두산,잠실
106,2019,04.30(화),NC1vs6롯데,사직
107,2019,05.07(화),롯데2vs7KT,수원
108,2019,05.10(금),롯데12vs5삼성,대구
109,2019,05.14(화),LG0vs4롯데,사직
110,2019,05.17(금),롯데0vs7키움,고척
111,2019,05.21(화),롯데6vs10KIA,광주
112,2019,05.24(금),LG5vs8롯데,사직
113,2019,05.28(화),롯데9vs4NC,창원
114,2019,05.31(금),삼성1vs6롯데,사직
115,2019,06.04(화),한화2vs3롯데,울산
116,2019,06.07(금),롯데1vs2KT,수원
117,2019,06.11(화),롯데1vs1LG,잠실
118,2019,06.14(금),KIAvs롯데,사직
119,2019,06.18(화),롯데11vs3한화,대전
120,2019,06.21(금),키움7vs4롯데,사직
121,2019,06.28(금),롯데2vs3두산,잠실
122,2019,07.02(화),롯데1vs10SK,문학
123,2019,07.05(금),롯데1vs14키움,고척
124,2019,07.09(화),NC1vs4롯데,사직
125,2019,07.16(화),롯데vsKIA,광주
126,2019,07.26(금),SK8vs6롯데,사직
127,2019,07.30(화),롯데2vs5삼성,대구
128,2019,08.03(토),두산1vs2롯데,사직
129,2019,08.06(화),키움vs롯데,울산
130,2019,08.08(목),롯데8vs0삼성,대구
131,2019,08.10(토),롯데4vs7NC,창원
132,2019,08.13(화),KT5vs6롯데,사직
133,2019,08.17(토),롯데2vs9두산,잠실
134,2019,08.20(화),롯데0vs5SK,문학
135,2019,08.22(목),롯데2vs4KT,수원
136,2019,08.24(토),NC8vs3롯데,사직
137,2019,08.27(화),LG2vs1롯데,울산
138,2019,08.29(목),롯데0vs4키움,고척
139,2019,08.31(토),롯데2vs4KIA,광주
140,2019,09.03(화),삼성5vs4롯데,사직
141,2019,09.05(목),롯데vsLG,잠실
142,2019,09.07(토),롯데1vs5한화,대전
143,2019,09.10(화),KIA4vs8롯데,사직
144,2019,09.14(토),롯데2vs5한화,대전
145,2019,09.18(수),롯데5vs6KIA,광주
146,2019,09.20(금),KT7vs0롯데,사직
147,2019,09.30(월),롯데0vs2LG,잠실
148,2019,10.01(화),키움3vs1롯데,사직
149,2020,05.05(화),롯데7vs2KT,수원
150,2020,05.08(금),SK8vs9롯데,사직
151,2020,05.15(금),롯데1vs2한화,대전
152,2020,05.19(화),롯데2vs9KIA,광주
153,2020,05.22(금),키움7vs9롯데,사직
154,2020,05.29(금),롯데2vs4두산,잠실
155,2020,06.02(화),롯데2vs7KIA,광주
156,2020,06.05(금),KT4vs6롯데,사직
157,2020,06.12(금),롯데2vs3LG,잠실
158,2020,06.16(화),롯데7vs5키움,고척
159,2020,06.19(금),롯데8vs9KT,수원
160,2020,06.23(화),KIA3vs4롯데,사직
161,2020,06.30(화),롯데10vs8NC,창원
162,2020,07.03(금),SK7vs4롯데,사직
163,2020,07.07(화),롯데6vs7한화,대전
164,2020,07.10(금),두산10vs5롯데,사직
165,2020,07.17(금),롯데10vs15삼성,대구
166,2020,07.21(화),롯데7vs8SK,문학
167,2020,07.24(금),롯데4vs2키움,고척
168,2020,07.28(화),NC9vs11롯데,사직
169,2020,08.04(화),롯데8vs0SK,문학
170,2020,08.07(금),롯데8vs4두산,잠실
171,2020,08.11(화),NCvs롯데,사직
172,2020,08.20(목),롯데6vs5두산,잠실
173,2020,08.22(토),롯데5vs3삼성,대구
174,2020,08.25(화),SK10vs8롯데,사직
175,2020,09.01(화),롯데2vs11KT,수원
176,2020,09.03(목),KIA4vs3롯데,사직
177,2020,09.08(화),롯데2vs14NC,창원
178,2020,09.10(목),삼성8vs13롯데,사직
179,2020,09.12(토),롯데1vs2SK,문학
180,2020,09.15(화),롯데8vs5키움,고척
181,2020,09.17(목),롯데1vs9LG,잠실
182,2020,09.19(토),NC1vs5롯데,사직
