,year,date,score,place
0,2017,04.01(토),KT2vs0SK,문학
1,2017,04.04(화),SK1vs6KIA,광주
2,2017,04.07(금),NC5vs3SK,문학
3,2017,04.14(금),SK6vs2한화,대전
4,2017,04.18(화),넥센4vs7SK,문학
5,2017,04.25(화),SK8vs3LG,잠실
6,2017,04.28(금),SK7vs5삼성,대구
7,2017,05.02(화),한화6vs5SK,문학
8,2017,05.05(금),SK3vs5넥센,고척
9,2017,05.09(화),SKvs두산,잠실
10,2017,05.12(금),KIA2vs8SK,문학
11,2017,05.19(금),SK11vs1NC,마산
12,2017,05.23(화),SK6vs7롯데,사직
13,2017,05.26(금),LG1vs6SK,문학
14,2017,05.30(화),SK8vs3KT,수원
15,2017,06.02(금),SK4vs5한화,대전
16,2017,06.06(화),넥센5vs6SK,문학
17,2017,06.09(금),SK1vs3LG,잠실
18,2017,06.13(화),한화11vs8SK,문학
19,2017,06.16(금),SK2vs1삼성,대구
20,2017,06.20(화),NC1vs7SK,문학
21,2017,06.27(화),SK5vs1두산,잠실
22,2017,06.30(금),삼성5vs7SK,문학
23,2017,07.07(금),SK6vs5롯데,사직
24,2017,07.11(화),LG1vs6SK,문학
25,2017,07.21(금),SK6vs10NC,마산
26,2017,07.25(화),SK10vs11KIA,광주
27,2017,07.28(금),롯데7vs8SK,문학
28,2017,08.01(화),SK0vs3넥센,고척
29,2017,08.04(금),SK6vs5KT,수원
30,2017,08.08(화),NC0vs4SK,문학
31,2017,08.10(목),SK2vs1LG,잠실
32,2017,08.12(토),KT3vs8SK,문학
33,2017,08.15(화),SKvs한화,대전
34,2017,08.17(목),LG1vs6SK,문학
35,2017,08.19(토),SK13vs1KIA,광주
36,2017,08.22(화),두산10vs6SK,문학
37,2017,08.24(목),SK9vs7삼성,대구
38,2017,08.26(토),한화1vs2SK,문학
39,2017,08.29(화),SK4vs8넥센,고척
40,2017,08.31(목),삼성4vs5SK,문학
41,2017,09.02(토),SK15vs7KT,수원
42,2017,09.05(화),롯데2vs6SK,문학
43,2017,09.07(목),SK3vs4NC,마산
44,2017,09.09(토),넥센1vs2SK,문학
45,2017,09.14(목),SK8vs6두산,잠실
46,2017,09.16(토),SK1vs6롯데,사직
47,2017,09.19(화),SK7vs4KIA,광주
48,2017,09.29(금),롯데7vs2SK,문학
49,2017,09.30(토),SK4vs1한화,대전
50,2017,10.03(화),SK3vs2두산,잠실
51,2018,04.01(일),SK13vs1한화,대전
52,2018,04.03(화),KIA3vs13SK,문학
53,2018,04.10(화),SK4vs1LG,잠실
54,2018,04.13(금),NC2vs4SK,문학
